cm, INTJ 
different, ADJ 
depth, NOUN 
profiles, NOUN 

, SPACE 
reduced, VERB 
species, NOUN 
terms, NOUN 
formation, NOUN 
surface, NOUN 

, SPACE 
spike, NOUN 
0, NUM 
detectable, ADJ 
case, NOUN 
highest, ADJ 
range, NOUN 

, SPACE 
detectable, ADJ 
ion, NOUN 
range, NOUN 
comparable, ADJ 
sam-, NOUN 

, SPACE 
pling, VERB 
depth, NOUN 
surface, NOUN 
enhanced, VERB 
mode, NOUN 

, SPACE 
results, NOUN 
reported, VERB 
present, ADJ 
paper, NOUN 
consid-, NOUN 

, SPACE 
ered, VERB 
stimulus, NOUN 
investigation, NOUN 

, SPACE 
microstructure, NOUN 
altered, ADJ 
layers, NOUN 
tool, NOUN 
understand, VERB 

, SPACE 
working, VERB 
mechanisms, NOUN 
compositional, ADJ 
modifica-, ADJ 

, SPACE 
tion, NOUN 
oxides, NOUN 
systems, NOUN 

, SPACE 
Acknowledgement, NOUN 

, SPACE 
authors, NOUN 
gratefully, ADV 
acknowledge, VERB 
financial, ADJ 
sup-, NOUN 

, SPACE 
port, NOUN 
research, NOUN 
Project, PROPN 
Microtecnologie, PROPN 

, SPACE 
CNR, PROPN 
Rome, PROPN 
G.M., PROPN 
acknowledges, VERB 
support, NOUN 

, SPACE 
CNR, PROPN 
MURST, PROPN 
40, NUM 
XPS, PROPN 
analyses, NOUN 
per-, VERB 

, SPACE 
formed, VERB 
Servizio, PROPN 
ESCA, PROPN 
Area, PROPN 
della, PROPN 
Ricerca, PROPN 
di, X 

, SPACE 
Roma, PROPN 
de1, NOUN 
CNR, PROPN 

, SPACE 
References, PROPN 

, SPACE 
l, X 
R., PROPN 
Kelly, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
182/183, PROPN 
1981, NUM 
351, NUM 

, SPACE 
2, X 
C.J., PROPN 
McHargue, PROPN 
Def, PROPN 
Diff, PROPN 
Forum, PROPN 
57/58, NUM 
1988, NUM 
359, NUM 
3, X 
R., PROPN 
Kelly, PROPN 
G., PROPN 
Marietta, PROPN 
F., PROPN 
Iacona, PROPN 
Surf, PROPN 
Sci, PROPN 
submitted, VERB 

, SPACE 
141, NUM 
R., PROPN 
Kelly, PROPN 
I., PROPN 
Bertoti, PROPN 
A., PROPN 
Miotello, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 

, SPACE 
80/81, NUM 
1993, NUM 
1154, NUM 

, SPACE 
5, X 
E.L., PROPN 
Fleischer, PROPN 
W., PROPN 
Hertl, PROPN 
T.L., PROPN 
Alford, PROPN 
P., PROPN 
Bijrgesen, PROPN 
J.W., PROPN 

, SPACE 
Mayer, PROPN 
J., PROPN 
Mater, PROPN 
Res, PROPN 
5, NUM 
1990, NUM 
385, NUM 

, SPACE 
6, NUM 
W.J.A., PROPN 
Wiibust, PROPN 
P.J.M., PROPN 
Kroot, PROPN 
A.J., PROPN 
Burrgraaf, PROPN 
.I., PROPN 
Phys, PROPN 

, SPACE 
Chem, PROPN 
Solids, NOUN 
44, NUM 
1983, NUM 
596, NUM 

, SPACE 
71, NUM 
G.M., PROPN 
Ingo, PROPN 
G., PROPN 
Padeletti, PROPN 
Surf, PROPN 
Interf, PROPN 
Anal, PROPN 
21, NUM 
1994, NUM 

, SPACE 
450, NUM 

, SPACE 
81, NUM 
Kao, PROPN 
C.H., PROPN 
Wang, PROPN 
J., PROPN 
Vat, PROPN 
Sci, PROPN 
Technol, PROPN 
8, NUM 
1990, NUM 

, SPACE 
3289, NUM 

, SPACE 
191, NUM 
L.J., PROPN 
Ohuer, PROPN 
J.C., PROPN 
Viguie, PROPN 
F.J.L., PROPN 
Schouler, PROPN 
Solid, PROPN 
State, PROPN 

, SPACE 
Ionics, PROPN 
7, NUM 
1981, NUM 
23, NUM 

, SPACE 
101, NUM 
D., PROPN 
Majumdar, PROPN 
D., PROPN 
Chatterjee, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
70, NUM 
1991, NUM 

, SPACE 
988, NUM 

, SPACE 
ll, X 
G.M., PROPN 
Ingo, PROPN 
J., PROPN 
Ceram, PROPN 
Sot, PROPN 
74, NUM 
1991, NUM 
381, NUM 

, SPACE 
I21, PROPN 
J.P., PROPN 
Biersack, PROPN 
J.F., PROPN 
Ziegler, PROPN 
Transport, PROPN 
Ions, PROPN 
Matter, PROPN 

, SPACE 
TRIM, PROPN 
Version, PROPN 
91.14, NUM 
IBM, PROPN 
Research, PROPN 
Yorktown, PROPN 
Heights, PROPN 

, SPACE 
NY, PROPN 
10598, NUM 
USA, PROPN 

, SPACE 
13, NUM 
S., PROPN 
Tanuma, PROPN 
C.J., PROPN 
Powell, PROPN 
D.R., PROPN 
Penn, PROPN 
Surf, PROPN 
Intcrf, PROPN 
Anal, PROPN 
17, NUM 

, SPACE 
1990, NUM 
911, NUM 
927, NUM 

, SPACE 
141, NUM 
C., PROPN 
Morant, PROPN 
J.M., PROPN 
Sanz, PROPN 
L., PROPN 
Galan, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
45, NUM 
1992, NUM 

, SPACE 
1391, NUM 

, SPACE 
151, NUM 
M., PROPN 
Morinaga, PROPN 
H., PROPN 
Adachi, PROPN 
M., PROPN 
Tsukada, PROPN 
J., PROPN 
Phys, PROPN 
Chem, PROPN 

, SPACE 
Solids, PROPN 
44, NUM 
1983, NUM 
301, NUM 

, SPACE 
1161, NUM 
M., PROPN 
Cotter, PROPN 
R.G., PROPN 
Egdell, PROPN 
J., PROPN 
Solid, PROPN 
State, PROPN 
Chem, PROPN 
66, NUM 
1987, NUM 

, SPACE 
364, NUM 

, SPACE 
171, NUM 
I., NOUN 
Bertoti, PROPN 
R., PROPN 
Kelly, PROPN 
M., PROPN 
Mohai, PROPN 
A., PROPN 
Toth, PROPN 
Nucl, PROPN 
Instr, PROPN 

, SPACE 
Meth, PROPN 
B, NOUN 
SO/81, ADJ 
1993, NUM 
1219, NUM 

, SPACE 
181, NUM 
S., PROPN 
Hoffmann, PROPN 
J.M., PROPN 
Sanz, PROPN 
J., PROPN 
Trace, PROPN 
Microprobe, PROPN 
Techu, PROPN 
1, NUM 

, SPACE 
1982, NUM 
1983, NUM 
213, NUM 

, SPACE 
lY, X 
J.E., PROPN 
Greene, PROPN 
Klinger, PROPN 
T.L., PROPN 
Barr, PROPN 
L.B., PROPN 
Welsh, PROPN 
Chem, PROPN 

, SPACE 
Phys, PROPN 
Lett, PROPN 
62, NUM 
1979, NUM 
46, NUM 

, SPACE 
201, NUM 
E., PROPN 
Taglauer, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
13, NUM 
1982, NUM 
80, NUM 

, SPACE 
211, NUM 
G., PROPN 
Marletta, PROPN 
F., PROPN 
Iacona, PROPN 
R., PROPN 
Kelly, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 

, SPACE 
65, NUM 
1992, NUM 
97, NUM 

, SPACE 
