Anin, NOUN 
Care, PROPN 
1999;7:1, NOUN 
28, NUM 

, SPACE 
11, NUM 
Nicholson, PROPN 
PH, PROPN 
Moilanen, PROPN 
P, PROPN 
Karkkainen, PROPN 
T, PROPN 
Timonen, PROPN 
J, PROPN 
Cheng, PROPN 
S., PROPN 
Guided, VERB 

, SPACE 
ultrasonic, ADJ 
waves, NOUN 
long, ADJ 
bones, NOUN 
modelling, NOUN 
experiment, NOUN 
vivo, NOUN 

, SPACE 
application, NOUN 
Physiol, PROPN 
Meas, PROPN 
2002;23:755, NOUN 
68, NUM 

, SPACE 
12, NUM 
Bossy, PROPN 
E, PROPN 
Talmant, PROPN 
M, PROPN 
Laugier, PROPN 
P., PROPN 
Effect, PROPN 
bone, NOUN 
cortical, ADJ 
thickness, NOUN 

, SPACE 
velocity, NOUN 
measurements, NOUN 
ultrasonic, ADJ 
axial, ADJ 
transmission, NOUN 
2Dsimulation, NOUN 
study, NOUN 
J, PROPN 
Acoust, PROPN 
Soc, PROPN 
2002;12:297, NOUN 
307, NUM 

, SPACE 
13, NUM 
Bossy, PROPN 
E, PROPN 
Talmant, PROPN 
M, PROPN 
Laugier, PROPN 
P., PROPN 
dimensional, ADJ 
simulations, NOUN 

, SPACE 
ultrasonic, ADJ 
axial, ADJ 
transmission, NOUN 
velocity, NOUN 
measurements, NOUN 
cortical, ADJ 
bone, NOUN 

, SPACE 
models, NOUN 
J, PROPN 
Acoust, PROPN 
Soc, PROPN 
2004;115:2314, NUM 
24, NUM 

, SPACE 
14, NUM 
Dodd, PROPN 
SP, PROPN 
Cunningham, PROPN 
JL, PROPN 
Miles, PROPN 
AW, PROPN 
Gheduzzi, PROPN 
S, PROPN 
Humphrey, PROPN 
VF, PROPN 

, SPACE 
Ultrasonic, ADJ 
propagation, NOUN 
cortical, ADJ 
bone, NOUN 
mimics, NOUN 
Phys, PROPN 
Med, PROPN 
Biol, PROPN 

, SPACE 
2006;51:4635, PROPN 
47, NUM 

, SPACE 
15, NUM 
Lowet, PROPN 
G, PROPN 
Van, PROPN 
der, NOUN 
Perre, PROPN 
G., PROPN 
Ultrasound, PROPN 
velocity, NOUN 
measurement, NOUN 
long, ADJ 
bones, NOUN 

, SPACE 
measurement, NOUN 
method, NOUN 
simulation, NOUN 
ultrasound, NOUN 
waves, NOUN 
J, PROPN 
Biomech1996;29:1255, PROPN 
62, NUM 

, SPACE 
16, NUM 
Saha, PROPN 
S, PROPN 
Rao, PROPN 
VV, PROPN 
Malakanok, PROPN 
V, PROPN 
Albright, PROPN 
JA, PROPN 
Quantitative, ADJ 
measurement, NOUN 

, SPACE 
fracture, ADJ 
healing, NOUN 
ultrasound, NOUN 
Saha, PROPN 
S, PROPN 
editor, NOUN 
Biomedical, PROPN 
EngineeringI, PROPN 
Recent, ADJ 
Developments, PROPN 
New, PROPN 
York, PROPN 
Pergamon, PROPN 
Press, PROPN 
1982, NUM 
p., NOUN 
247, NUM 
9, NUM 

, SPACE 
17, NUM 
Saulgozis, PROPN 
J, PROPN 
Pontaga, PROPN 
Lowet, PROPN 
G, PROPN 
Van, PROPN 
der, NOUN 
Perre, PROPN 
G., PROPN 
effect, NOUN 
fracture, NOUN 

, SPACE 
fracture, VERB 
healing, NOUN 
ultrasonic, ADJ 
velocity, NOUN 
attenuation, NOUN 
Physiol, PROPN 
Meas1996;17:201, PROPN 
11, NUM 

, SPACE 
18, NUM 
Martin, PROPN 
RB, PROPN 
Burr, PROPN 
DB, PROPN 
Sharkey, PROPN 
NA, PROPN 
Skeletal, PROPN 
Tissue, PROPN 
Mechanics, PROPN 
New, PROPN 
York, PROPN 

, SPACE 
Springer, PROPN 
Verlag, PROPN 
1998, NUM 
p., NOUN 
67, NUM 

, SPACE 
19, NUM 
Njeh, PROPN 
CF, PROPN 
Kearton, PROPN 
JR, PROPN 
Hans, PROPN 
D, PROPN 
Boivin, PROPN 
CM, PROPN 
use, NOUN 
quantitative, ADJ 

, SPACE 
ultrasound, NOUN 
monitor, VERB 
fracture, NOUN 
healing, NOUN 
feasibility, NOUN 
study, NOUN 
phantoms, NOUN 
Med, PROPN 
Eng, PROPN 
Phys, PROPN 
1998;20:781, INTJ 
6, NUM 

, SPACE 
20, NUM 
Selfridge, PROPN 
AR, PROPN 
Approximate, ADJ 
material, NOUN 
properties, NOUN 
isotropic, ADJ 
materials, NOUN 

, SPACE 
IEEE, PROPN 
Trans, PROPN 
Sonics, PROPN 
Ultrasonic, PROPN 
1985;SU32:381, NUM 
94, NUM 

, SPACE 
21, NUM 
Lakes, PROPN 
R, NOUN 
Yoon, PROPN 
HS, PROPN 
Katz, PROPN 
JL, PROPN 
Ultrasonic, ADJ 
wave, NOUN 
propagation, NOUN 
attenuation, NOUN 

, SPACE 
wet, ADJ 
bone, NOUN 
J, PROPN 
Biomed, PROPN 
Eng, PROPN 
1985;8:143, PROPN 
8, NUM 

, SPACE 
22, NUM 
Mehta, PROPN 
S, PROPN 
Antich, PROPN 
P., PROPN 
Measurement, PROPN 
shear, ADJ 
wave, NOUN 
velocity, NOUN 
ultrasound, NOUN 

, SPACE 
critical, ADJ 
angle, NOUN 
reflectometry, NOUN 
UCR, PROPN 
Ultrasound, PROPN 
Med, PROPN 
Biol, PROPN 
1997;23:1123, PROPN 
6, NUM 

, SPACE 
23, NUM 
Lasaygues, PROPN 
P, PROPN 
Pithioux, PROPN 
M., PROPN 
Ultrasonic, PROPN 
characterization, NOUN 
orthotropic, ADJ 
elastic, ADJ 

, SPACE 
bovine, ADJ 
bones, NOUN 
Ultrasonics, PROPN 
2002;39:567, INTJ 

, SPACE 
73.661, NUM 
S.P, PROPN 
Dodd, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
