Local, ADJ 
Acknowledgments, NOUN 

, SPACE 
Supported, VERB 
National, PROPN 
Institutes, PROPN 
Health, PROPN 
grants, NOUN 

, SPACE 
AR42862, PROPN 
RR16631, PROPN 
Grainger, PROPN 
Foundation, PROPN 
Chris, PROPN 
Hendrick, PROPN 
Eileen, PROPN 
Broderick, PROPN 
Amit, PROPN 
Ailiani, PROPN 
SusanInfanger, PROPN 
provided, VERB 
technical, ADJ 
assistance, NOUN 
Implant, ADJ 
coatings, NOUN 

, SPACE 
gift, NOUN 
Zimmer, PROPN 
Warsaw, PROPN 
recombinant, ADJ 

, SPACE 
human, NOUN 
TGF-, NUM 
h2, PROPN 
gift, NOUN 
Genzyme, PROPN 
Corporation, PROPN 

, SPACE 
Framingham, PROPN 
MA, PROPN 

, SPACE 
References, NOUN 

, SPACE 
1, NUM 
Sumner, PROPN 
DR, PROPN 
Turner, PROPN 
TM, PROPN 
Purchio, PROPN 
AF, PROPN 
Gombotz, PROPN 
WR, PROPN 
Urban, PROPN 
RM, PROPN 

, SPACE 
Galante, PROPN 
JO, PROPN 
Enhancement, NOUN 
bone, NOUN 
ingrowth, NOUN 
transforming, VERB 
growth, NOUN 

, SPACE 
factor, NOUN 
beta, NOUN 
J, PROPN 
Bone, PROPN 
Joint, PROPN 
Surg, PROPN 
1995;77, PROPN 
A:1135, PROPN 
47, NUM 

, SPACE 
2, X 
Lind, PROPN 
M, PROPN 
Overgaard, PROPN 
S, PROPN 
Ongpipattanakul, PROPN 
B, PROPN 
Nguyen, PROPN 
T, PROPN 
Bu, PROPN 
¨nger, PUNCT 
C, PROPN 

, SPACE 
Søballe, PROPN 
K., PROPN 
Transforming, PROPN 
growth, NOUN 
factor-, NOUN 
h1, NOUN 
stimulates, NOUN 
bone, NOUN 
ongrowth, NOUN 

, SPACE 
weight, NOUN 
loaded, VERB 
tricalcium, NOUN 
phosphate, ADJ 
coated, VERB 
implants, NOUN 
J, PROPN 
Bone, PROPN 
JointSurg, PROPN 
1996;78, PROPN 
B:377–82, NOUN 

, SPACE 
3, X 
Lind, PROPN 
M, PROPN 
Overgaard, PROPN 
S, PROPN 
Søballe, PROPN 
K, PROPN 
Nguyen, PROPN 
T, PROPN 
Ongpipattanakul, PROPN 
B, PROPN 

, SPACE 
Bu¨nger, PROPN 
C., PROPN 
Transforming, PROPN 
growth, NOUN 
factor-, NOUN 
h1, NOUN 
enhances, NOUN 
bone, NOUN 
healing, NOUN 

, SPACE 
unloaded, VERB 
tricalcium, NOUN 
phosphate, ADJ 
coated, ADJ 
implants, NOUN 
experimental, ADJ 
studyin, NOUN 
dogs, NOUN 
J, PROPN 
Orthop, PROPN 
Res, PROPN 
1996;14:343–50, PROPN 

, SPACE 
4, X 
Sumner, PROPN 
DR, PROPN 
Turner, PROPN 
TM, PROPN 
Urban, PROPN 
RM, PROPN 
Turek, PROPN 
T, PROPN 
Seeherman, PROPN 
H, PROPN 
Wozney, PROPN 

, SPACE 
JM, NOUN 
Locally, ADV 
delivered, VERB 
rhBMP-2, NUM 
enhances, NOUN 
bone, NOUN 
ingrowth, NOUN 
gap, NOUN 

, SPACE 
healing, NOUN 
canine, NOUN 
model, NOUN 
J, PROPN 
Orthop, PROPN 
Res, PROPN 
2004;22:58–65, NUM 

, SPACE 
5, X 
Amsel, PROPN 
S, PROPN 
Maniatis, PROPN 
Tavassoli, PROPN 
M, PROPN 
Crosby, PROPN 
WH, PROPN 
significance, NOUN 

, SPACE 
intramedullary, ADJ 
cancellous, ADJ 
bone, NOUN 
formation, NOUN 
repair, NOUN 
bone, NOUN 

, SPACE 
marrow, NOUN 
tissue, NOUN 
Anat, PROPN 
Rec, PROPN 
1969;164:101–12, PROPN 

, SPACE 
6, NUM 
Patt, PROPN 
HM, PROPN 
Maloney, PROPN 
MA, PROPN 
Bone, NOUN 
marrow, NOUN 
regeneration, NOUN 
local, ADJ 
injury, NOUN 

, SPACE 
review, NOUN 
Exp, PROPN 
Hematol, PROPN 
1975;3:135, NUM 
48, NUM 

, SPACE 
7, X 
Bab, PROPN 
IA, PROPN 
Postablation, NOUN 
bone, NOUN 
marrow, NOUN 
regeneration, NOUN 
vivo, ADJ 
model, NOUN 
tostudy, ADJ 
differential, ADJ 
regulation, NOUN 
bone, NOUN 
formation, NOUN 
resorption, NOUN 
Bone, NOUN 

, SPACE 
1995;17:437S, PROPN 
41S., PROPN 

, SPACE 
8, NUM 
Liang, PROPN 
CT, PROPN 
Barnes, PROPN 
J, PROPN 
Seedor, PROPN 
JG, PROPN 
Quartuccio, PROPN 
HA, PROPN 
Bolander, PROPN 
M, PROPN 
Jeffrey, PROPN 

, SPACE 
JJ, PROPN 
et, PROPN 
al, PROPN 
Impaired, ADJ 
bone, NOUN 
activity, NOUN 
aged, ADJ 
rats, NOUN 
alterations, NOUN 
cellular, ADJ 

, SPACE 
molecular, ADJ 
levels, NOUN 
Bone, NOUN 
1992;13:435, NOUN 
41, NUM 

, SPACE 
9, X 
Suva, PROPN 
LJ, PROPN 
Seedor, PROPN 
JG, PROPN 
Endo, PROPN 
N, PROPN 
Quartuccio, PROPN 
HA, PROPN 
Thompson, PROPN 
DD, PROPN 
Bab, PROPN 

, SPACE 
et, NOUN 
al, PROPN 
Pattern, PROPN 
gene, NOUN 
expression, NOUN 
following, VERB 
rat, NOUN 
tibial, ADJ 
marrow, NOUN 
ablation, NOUN 

, SPACE 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res, PROPN 
1993;8:379, PROPN 
88, NUM 

, SPACE 
10, NUM 
Tanaka, PROPN 
H, PROPN 
Barnes, PROPN 
J, PROPN 
Liang, PROPN 
CT, PROPN 
Effect, NOUN 
age, NOUN 
expression, NOUN 

, SPACE 
insulin, NOUN 
like, ADJ 
growth, NOUN 
factor, NOUN 
interleukin-6, PROPN 
transforming, VERB 
growthfactor, NOUN 
hmRNAs, PROPN 
rat, PROPN 
femurs, NOUN 
following, VERB 
marrow, NOUN 
ablation, NOUN 
Bone, NOUN 

, SPACE 
1996;18:473–8, NUM 

, SPACE 
11, NUM 
Ishizaka, PROPN 
M, PROPN 
Tanizawa, PROPN 
T, PROPN 
Sofue, PROPN 
M, PROPN 
Dohmae, PROPN 
Y, PROPN 
Endo, PROPN 
N, PROPN 
Takahashi, PROPN 

, SPACE 
Bone, NOUN 
particles, NOUN 
disturb, VERB 
new, ADJ 
bone, NOUN 
formation, NOUN 
interface, NOUN 
thetitanium, NOUN 
implant, ADJ 
reaming, VERB 
marrow, NOUN 
cavity, NOUN 
Bone, NOUN 
1996, NUM 

, SPACE 
19:589, PROPN 
94, NUM 

, SPACE 
12, NUM 
Hara, PROPN 
T, PROPN 
Hayashi, PROPN 
K, PROPN 
Nakashima, PROPN 
Y, PROPN 
Kanemaru, PROPN 
T, PROPN 
Iwamoto, PROPN 
Y, PROPN 

, SPACE 
effect, NOUN 
hydroxyapatite, NOUN 
coating, VERB 
bonding, NOUN 
bone, NOUN 
titanium, NOUN 

, SPACE 
implants, NOUN 
femora, NOUN 
ovariectomised, VERB 
rats, NOUN 
J, PROPN 
Bone, PROPN 
Joint, PROPN 
Surg, PROPN 

, SPACE 
1999;81, PROPN 
B:705–9, PROPN 

, SPACE 
13, NUM 
Schmidmaier, ADJ 
G, PROPN 
Wildemann, PROPN 
B, PROPN 
Schwabe, PROPN 
P, PROPN 
Stange, PROPN 
R, PROPN 
Hoffmann, PROPN 
J, PROPN 

, SPACE 
Sudkamp, PROPN 
NP, PROPN 
et, PROPN 
al, PROPN 
new, ADJ 
electrochemically, ADV 
graded, VERB 
hydroxyapatite, NOUN 

, SPACE 
coating, NOUN 
osteosynthetic, ADJ 
implants, NOUN 
promotes, VERB 
implant, ADJ 
osteointegration, NOUN 

, SPACE 
rat, NOUN 
model, NOUN 
J, PROPN 
Biomed, PROPN 
Mater, PROPN 
Res, PROPN 
2002;63:168, NOUN 
72, NUM 

, SPACE 
14, NUM 
Kuroda, PROPN 
S, PROPN 
Virdi, PROPN 
Li, PROPN 
P, PROPN 
Healy, PROPN 
KE, PROPN 
Sumner, PROPN 
DR, PROPN 
low, ADJ 
temperature, NOUN 

, SPACE 
biomimetic, ADJ 
calcium, NOUN 
phosphate, NOUN 
surface, NOUN 
enhances, VERB 
early, ADJ 
implant, ADJ 
fixation, NOUN 

, SPACE 
rat, NOUN 
model, NOUN 
J, PROPN 
Biomed, PROPN 
Mater, PROPN 
Res, PROPN 
2004;70A:66, NOUN 
73, NUM 

, SPACE 
15, X 
De, PROPN 
Ranieri, PROPN 
Virdi, PROPN 
Kuroda, PROPN 
S, PROPN 
Healy, PROPN 
KE, PROPN 
Sumner, PROPN 
DR, PROPN 
Saline, PROPN 

, SPACE 
irrigation, NOUN 
affect, VERB 
bone, NOUN 
formation, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
rat, NOUN 
model, NOUN 
J, PROPN 
Biomed, PROPN 
Mater, PROPN 
Res, PROPN 
press, NOUN 

, SPACE 
16, NUM 
Clarke, PROPN 
SA, PROPN 
Brooks, PROPN 
RA, PROPN 
Lee, PROPN 
PT, PROPN 
Rushton, PROPN 
N., PROPN 
Bone, PROPN 
growth, NOUN 

, SPACE 
ceramic, NOUN 
filled, VERB 
defect, NOUN 
implant, NOUN 
response, NOUN 
transforminggrowth, VERB 
factor, NOUN 
beta1, NOUN 
J, PROPN 
Bone, PROPN 
Joint, PROPN 
Surg, PROPN 
Br, PROPN 
2004;86:126, NOUN 
34, NUM 

, SPACE 
17, NUM 
Turner, PROPN 
TM, PROPN 
Sumner, PROPN 
DR, PROPN 
Urban, PROPN 
RM, PROPN 
Rivero, PROPN 
DP, NOUN 
Galante, PROPN 
JO, PROPN 

, SPACE 
comparative, ADJ 
study, NOUN 
porous, ADJ 
coatings, NOUN 
weight, NOUN 
bearing, VERB 
total, ADJ 
hip, NOUN 
arthroplasty, NOUN 
model, NOUN 
J, PROPN 
Bone, PROPN 
Joint, PROPN 
Surg, PROPN 
1986;68, PROPN 
A:1396, PROPN 
409, NUM 

, SPACE 
18, NUM 
Sumner, PROPN 
DR, PROPN 
Turner, PROPN 
TM, PROPN 
Urban, PROPN 
RM, PROPN 
Leven, PROPN 
RM, PROPN 
Hawkins, PROPN 
M, PROPN 
Nichols, PROPN 

, SPACE 
EH, PROPN 
et, PROPN 
al, PROPN 
Locally, ADV 
delivered, VERB 
rhTGF-, PUNCT 
h, NOUN 

, SPACE 
2enhances, NOUN 
bone, NOUN 
ingrowth, NOUN 

, SPACE 
bone, NOUN 
regeneration, NOUN 
local, ADJ 
remote, ADJ 
sites, NOUN 
skeletal, ADJ 
injury, NOUN 
J, PROPN 
OrthopRes, PROPN 
2001;19:85, NUM 
94, NUM 

, SPACE 
19, NUM 
Bernhardt, PROPN 
R, NOUN 
Scharnweber, PROPN 
D, PROPN 
Muller, PROPN 
B, PROPN 
Thurner, PROPN 
P, NOUN 
Schliephake, PROPN 
H, PROPN 

, SPACE 
Wyss, PROPN 
P, PROPN 
et, PROPN 
al, PROPN 
Comparison, PROPN 
microfocus-, NOUN 
synchrotron, NOUN 
X, NOUN 
raytomography, NOUN 
analysis, NOUN 
osteointegration, NOUN 
Ti6Al4V, PROPN 
implants, NOUN 
Eur, PROPN 
Cell, PROPN 
Mater, PROPN 
2004;7:42, NUM 
51, NUM 

, SPACE 
20, NUM 
Sumner, PROPN 
DR, PROPN 
Turner, PROPN 
TM, PROPN 
Cohen, PROPN 
M, PROPN 
Losavio, PROPN 
P, PROPN 
Urban, PROPN 
RM, PROPN 
Nichols, PROPN 

, SPACE 
EH, PROPN 
et, PROPN 
al, PROPN 
Aging, NOUN 
lessen, VERB 
effectiveness, NOUN 
TGF-, NUM 
h, NOUN 

, SPACE 
2enhanced, VERB 

, SPACE 
bone, NOUN 
regeneration, NOUN 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res, PROPN 
2003;18:730, PROPN 
6, NUM 

, SPACE 
21, NUM 
Lind, PROPN 
M, PROPN 
Overgaard, PROPN 
S, PROPN 
Nguyen, PROPN 
T, PROPN 
Ongpipattanakul, PROPN 
B, PROPN 
Bu, PROPN 
¨nger, PUNCT 
C, PROPN 

, SPACE 
Søballe, PROPN 
K., PROPN 
Transforming, PROPN 
growth, NOUN 
factor-, NOUN 
hstimulates, VERB 
bone, NOUN 
ongrowth, NOUN 

, SPACE 
hydroxyapatite, VERB 
coated, VERB 
implants, NOUN 
studied, VERB 
dogs, NOUN 
Acta, PROPN 
Orthop, PROPN 
Scand1996;67:611, PROPN 
6, NUM 

, SPACE 
22, NUM 
Eckhoff, NOUN 
DG, PROPN 
Turner, PROPN 
Clarke, PROPN 
R, PROPN 
Hastings, PROPN 
R, PROPN 
Nguyen, PROPN 
T, PROPN 
Cromwell, PROPN 

, SPACE 
M, PROPN 
et, PROPN 
al, PROPN 
Dose, ADJ 
effect, NOUN 
rhTGF-, PROPN 
h, PROPN 

, SPACE 
1on, ADJ 
bone, NOUN 
growth, NOUN 
prosthetic, ADJ 

, SPACE 
implants, NOUN 
age, NOUN 
controlled, VERB 
model, NOUN 
Trans, PROPN 
ORS, PROPN 
1996;21:95, PROPN 
Abstr, PROPN 

, SPACE 
23, NUM 
Schmidmaier, ADJ 
G, PROPN 
Wildemann, PROPN 
B, PROPN 
Gabelein, PROPN 
T, PROPN 
Heeger, PROPN 
J, PROPN 
Kandziora, PROPN 
F, PROPN 

, SPACE 
Haas, PROPN 
NP, PROPN 
et, PROPN 
al, PROPN 
Synergistic, ADJ 
effect, NOUN 
IGF, PROPN 
TGF, PROPN 
beta1, PROPN 
fracture, ADJ 

, SPACE 
healing, NOUN 
rats, NOUN 
single, ADJ 
versus, ADP 
combined, VERB 
application, NOUN 
IGF, PROPN 
TGF, PROPN 
beta1, PROPN 
Acta, PROPN 
Orthop, PROPN 
Scand, PROPN 
2003;74:604, NOUN 
10, NUM 

, SPACE 
24, NUM 
Geesink, PROPN 
RG, PROPN 
Osteoconductive, ADJ 
coatings, NOUN 
total, ADJ 
joint, ADJ 
arthroplasty, NOUN 

, SPACE 
Clin, PROPN 
Orthop, PROPN 
2002;395:53, NUM 
65, NUM 

, SPACE 
25, NUM 
LeGeros, PROPN 
RZ, PROPN 
Properties, NOUN 
osteoconductive, ADJ 
biomaterials, NOUN 
calcium, NOUN 

, SPACE 
phosphates, NOUN 
Clin, PROPN 
Orthop, PROPN 
2002;81, PROPN 
98, NUM 

, SPACE 
26, NUM 
Dupont, NOUN 
WD, PROPN 
Plumer, PROPN 
Jr, PROPN 
WD, PROPN 
Power, NOUN 
sample, NOUN 
size, NOUN 
calculations, NOUN 

, SPACE 
review, NOUN 
computer, NOUN 
program, NOUN 
Control, PROPN 
Clin, PROPN 
Trials, PROPN 
1990;11:116, NUM 
28, NUM 

, SPACE 
27, NUM 
De, PROPN 
Ranieri, PROPN 
Virdi, PROPN 
Kuroda, PROPN 
S, PROPN 
Shott, PROPN 
S, PROPN 
Dai, PROPN 
Y, PROPN 
Sumner, PROPN 
DR, PROPN 
Local, ADJ 

, SPACE 
application, NOUN 
rhTGF-, PROPN 
h, PROPN 

, SPACE 
2modulates, NUM 
dynamic, ADJ 
gene, NOUN 
expression, NOUN 
rat, ADJ 

, SPACE 
implant, ADJ 
model, NOUN 
Bone, NOUN 
Epub, PROPN 
ahead, ADV 
print, NOUN 
March, PROPN 
24, NUM 
2005].A., PROPN 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
62, NUM 

, SPACE 
