o~.41ourna, PUNCT 
spectrometer, NOUN 

, SPACE 
U.S., PROPN 
Naval, PROPN 
Academy, PROPN 
referenced, VERB 
appro-, VERB 

, SPACE 
priate, NOUN 
solvent, ADJ 
references, NOUN 
IR, PROPN 
spectra, PROPN 
recorded, VERB 

, SPACE 
Perkin, PROPN 
Elmer, PROPN 
1750, NUM 
FTIR, NOUN 
Bio, PROPN 
Rad, PROPN 
Quali-, PROPN 

, SPACE 
matic, ADJ 
FFIR, PROPN 
HPLC, PROPN 
analyses, NOUN 
conducted, VERB 
Gow-, PROPN 

, SPACE 
Mac, PROPN 
HPLC, PROPN 
outfitted, VERB 
silica, PROPN 
gel, PROPN 
column, NOUN 
30, NUM 

, SPACE 
THF, PROPN 
petroleum, NOUN 
ether, NOUN 
eluant, NOUN 
GC, PROPN 
mass, PROPN 
spectral, ADJ 

, SPACE 
studies, NOUN 
conducted, VERB 
Hewlett, PROPN 
Packard, PROPN 
5990, NUM 

, SPACE 
GC, PROPN 
MS, PROPN 
mass, NOUN 
spectrum, NOUN 
VIII, PROPN 
recorded, VERB 

, SPACE 
Finnigan, PROPN 
mass, NOUN 
spectrometer, NOUN 
University, PROPN 

, SPACE 
Vermont, PROPN 
Analyses, NOUN 
conducted, VERB 
Galbraith, PROPN 
Labo-, PROPN 

, SPACE 
ratories, NOUN 
Inc., PROPN 
Knoxville, PROPN 
TN, PROPN 
Desert, PROPN 
Analytics, PROPN 

, SPACE 
Inc., PROPN 
Tuscon, PROPN 
AZ, PROPN 

, SPACE 
5, NUM 
General, ADJ 
photolysis, NOUN 
procedures, NOUN 

, SPACE 
Photolyses, NOUN 
carried, VERB 
Ace, PROPN 

, SPACE 
Hanovia, PROPN 
medium, NOUN 
pressure, NOUN 
lamp, NOUN 
held, VERB 
water, NOUN 
cooled, VERB 

, SPACE 
quartz, NOUN 
jacket, NOUN 
UVP, PROPN 
Inc., PROPN 
350, NUM 
W, PROPN 
high, ADJ 
pressure, NOUN 

, SPACE 
mercury, NOUN 
lamp, NOUN 
Optical, ADJ 
filters, NOUN 
purchased, VERB 

, SPACE 
Corion, PROPN 
Inc., PROPN 
NMR, PROPN 
samples, NOUN 
photolysis, NOUN 
prepared, VERB 

, SPACE 
vacuum, PROPN 
trap, NOUN 
trap, NOUN 
transfer, NOUN 
NMR, PROPN 

, SPACE 
solvent, NOUN 
NMR, PROPN 
tube, NOUN 
containing, VERB 
ruthenium, NOUN 
com-, NOUN 

, SPACE 
pound, NOUN 
preparation, NOUN 
solution, NOUN 
followed, VERB 

, SPACE 
freeze, NOUN 
pump, NOUN 
thaw, NOUN 
cycles, NOUN 
high, ADJ 
vacuum, NOUN 
Mi-, ADJ 

, SPACE 
croscale, NOUN 
photolyses, VERB 
10, NUM 
20, NUM 
mg, PROPN 
sample, NOUN 
con-, NOUN 

, SPACE 
ducted, VERB 
Ace, PROPN 
Micro, PROPN 
Air, PROPN 
apparatus, NOUN 
equipped, VERB 

, SPACE 
quartz, NOUN 
sample, NOUN 
tube, NOUN 
cold, ADJ 
finger, NOUN 
Microscale, PROPN 

, SPACE 
photolysis, NOUN 
samples, NOUN 
degassed, VERB 
freeze-, ADJ 

, SPACE 
pump, NOUN 
thaw, NOUN 
cycles, NOUN 
followed, VERB 
nitrogen, NOUN 
backflush, NOUN 

, SPACE 
NMR, PROPN 
tubes, NOUN 
cooled, VERB 
photolysis, NOUN 
Pyrex, PROPN 

, SPACE 
water, NOUN 
jacket, NOUN 
microscale, NOUN 
photolyses, NOUN 
carried, VERB 

, SPACE 
cold, ADJ 
finger, NOUN 
IR, PROPN 
spectra, PROPN 
air, NOUN 
sensitive, ADJ 
reaction, NOUN 

, SPACE 
mixtures, NOUN 
prepared, VERB 
transfer, NOUN 
sample, NOUN 

, SPACE 
nitrogen, NOUN 
fllshed, VERB 
syringe, NOUN 
nitrogen, NOUN 
flushed, VERB 
IR, PROPN 
cell, NOUN 

, SPACE 
outfitted, VERB 
microsepta, NOUN 
majority, NOUN 
reactions, NOUN 

, SPACE 
reported, VERB 
work, NOUN 
conducted, VERB 
NMR, PROPN 

, SPACE 
tube, NOUN 
microscales, NOUN 
recovered, VERB 
samples, NOUN 
corre-, ADJ 

, SPACE 
spondingly, ADV 
small, ADJ 
result, NOUN 
mass, PROPN 
spectrometry, NOUN 

, SPACE 
primary, ADJ 
tool, NOUN 
chemical, ADJ 
analysis, NOUN 

, SPACE 
experiments, NOUN 

, SPACE 
5.2, X 
Photochemical, ADJ 
studies, NOUN 
RuzfCO)4l~5.vlS, PROPN 
C, PROPN 
~, NOUN 
H~., X 

, SPACE 
¢H2, PROPN 
es, ADP 
H, PROPN 
m, PROPN 

, SPACE 
solution, NOUN 
11, NUM 
C6D, PROPN 
6, NUM 
NMR, PROPN 
tube, NOUN 

, SPACE 
prepared, VERB 
trap, NOUN 
trap, NOUN 
transfer, NOUN 
solution, NOUN 

, SPACE 
photolyzed, VERB 
Ace, PROPN 
Hanovia, PROPN 
lamp, NOUN 
filters, NOUN 

, SPACE 
NMR, PROPN 
tube, NOUN 
approximately, ADV 
5, NUM 
cm, NOUN 
lamp, NOUN 

, SPACE 
solution, NOUN 
color, NOUN 
changed, VERB 
yellow, ADJ 
orange, NOUN 
red, NOUN 

, SPACE 
period, NOUN 
Spectra, PROPN 
recorded, VERB 
2, NUM 
h, NOUN 
indicated, VERB 

, SPACE 
formation, NOUN 
hydride, ADJ 
species, NOUN 
Vii, PROPN 
IR, PROPN 
C6D, PROPN 
6, NUM 


, SPACE 
T.E., PROPN 
Binerwolf, PROPN 
et, PROPN 
al./, ADV 
Journal, PROPN 
Organometallic, PROPN 
Chemiswy, PROPN 
514, NUM 
¢!996, PROPN 
13, NUM 
21, NUM 
19, NUM 

, SPACE 
2033, NUM 
2014, NUM 
1974, NUM 
1963, NUM 
cm, NOUN 
-I., ADJ 
IH, PROPN 
NMR, PROPN 
C6D, PROPN 
6, NUM 
4.91, NUM 

, SPACE 
s, PROPN 
IH, PROPN 
Cp, PROPN 
4.70, NUM 
s, PROPN 
2H, PROPN 
Cp, PROPN 
4.61, NUM 
s, PROPN 
1H, PROPN 
Cp, PROPN 
4.46, NUM 
s, PROPN 

, SPACE 
1H, PROPN 
Cp, PROPN 
4.48, NUM 
s, PROPN 
2H, PROPN 
Cp, PROPN 
2.73, NUM 
2.45, NUM 
AB, PROPN 
quartet, NOUN 

, SPACE 
2H, PROPN 
JA, PROPN 
n, PROPN 
15.85, NUM 
Hz, PROPN 
10.23, NUM 
s, PROPN 
IH, PROPN 
Ru, PROPN 
H, PROPN 

, SPACE 
microscale, NOUN 
sample, NOUN 
Ill, PROPN 
C6H, PROPN 
6, NUM 
photolyzed, VERB 

, SPACE 
2, NUM 
h, NOUN 
Ace, PROPN 
Hanovia, PROPN 
lamp, NOUN 
time, NOUN 

, SPACE 
dichloromethane, NOUN 
injected, VERB 
sample, NOUN 

, SPACE 
reaction, NOUN 
mixture, NOUN 
stirred, VERB 
additional, ADJ 
hour, NOUN 

, SPACE 
removal, NOUN 
solvent, NOUN 
residue, NOUN 
taken, VERB 
1:1, NUM 

, SPACE 
petroleum, NOUN 
ether:.dichloromethane, NOUN 
chromatographed, VERB 

, SPACE 
5, NUM 
mm, NUM 
×, PROPN 
150, NUM 
mm, NOUN 
alumina, PROPN 
column, NOUN 
yellow, ADJ 
band, NOUN 

, SPACE 
rapidly, ADV 
eluted, VERB 
stripped, VERB 
solvent, NOUN 

, SPACE 
yellow, ADJ 
orange, NOUN 
crystals, NOUN 
VIII, PROPN 
m.p, PROPN 
156, NUM 
158, NUM 
°, NUM 
C, NOUN 
IR, PROPN 

, SPACE 
CH2CI, PROPN 
2, NUM 
2046, NUM 
2029, NUM 
1988, NUM 
1975, NUM 
cm, NOUN 
-I., ADJ 
IH, PROPN 
NMR, PROPN 

, SPACE 
CDCI, PROPN 
3, NUM 
5.93, NUM 
q, PROPN 
IH, PROPN 
a-~/S, PROPN 
Cp, PROPN 
5.59, NUM 
m, PROPN 
2H,/3, NUM 
v, NUM 
S, PROPN 
Cp, PROPN 

, SPACE 
5.30, NUM 
q, PROPN 
IH, PROPN 
a-~/S, PROPN 
Cp, PROPN 
5.04, NUM 
t., PROPN 
IH, PROPN 
H8, PROPN 
Hl0, NOUN 
v, NOUN 
l, NOUN 
v, NOUN 
s-, X 

, SPACE 
Cp, PROPN 
5.01, NUM 
q, PROPN 
IH, PROPN 
H8, PROPN 
Hl0, NOUN 
v, NOUN 
v, X 
S, PROPN 
Cp, PROPN 
4.65, NUM 
q, PROPN 
IH, PROPN 

, SPACE 
H9, PROPN 
v/~:~5, ADP 
Cp, NOUN 
3.29, NUM 
2.97, NUM 
AB, PROPN 
quartet, NOUN 
2H, PROPN 
J^-n, PROPN 

, SPACE 
16.52, NUM 
Hz, PROPN 
CH2, PROPN 
13C, NUM 
NMR, NOUN 
CDC, PROPN 
3, X 
199.3, NUM 
Ru, PROPN 
CO, PROPN 

, SPACE 
198.7, NUM 
Ru, PROPN 
CO, PROPN 
198.2, NUM 
Ru, PROPN 
CO, PROPN 
197.9, NUM 
Ru, PROPN 
CO, PROPN 
144.6, NUM 

, SPACE 
ipso, PROPN 
Cp, PROPN 
129.4, NUM 
ipso, PROPN 
Cp, PROPN 
106.9, NUM 
ipso, PROPN 
Cp, PROPN 
91.1, NUM 

, SPACE 
/3, PROPN 
v/5, PROPN 
Cp, PROPN 
85.8, NUM 
a-~5, ADP 
Cp, PROPN 
85.3, NUM 
H9, PROPN 
v/~:v/5, PROPN 
Cp, PROPN 
83.9, NUM 

, SPACE 
/3, PROPN 
nS, NUM 
Cp, NOUN 
83.9, NUM 
a-7/5, PROPN 
Cp, PROPN 
82.2, NUM 
C8, PROPN 
ClO, PROPN 
nt, NOUN 
n, NOUN 
5-, X 

, SPACE 
Cp, PROPN 
81.9, NUM 
C8, PROPN 
CI0, PROPN 
vll:,~S, PROPN 
Cp, PROPN 
26.2, NUM 
CH2, PROPN 
MS, PROPN 
Ell, PROPN 

, SPACE 
491, NUM 
M, PROPN 
+, PROPN 
456, NUM 
M+-CI, PROPN 
435, NUM 
M+-2CO, PROPN 
Anal, PROPN 
Found, VERB 

, SPACE 
C, PROPN 
36.81, NUM 
H., PROPN 
1.81, NUM 
CtsHgCIO4Ru, NOUN 
2, NUM 
Theory, NOUN 
C, NOUN 
36.66, NUM 

, SPACE 
H, PROPN 
1.83, NUM 

, SPACE 
Microscale, PROPN 
photolysis, NOUN 
IIi, NOUN 
CC!4, PROPN 
4, NUM 
h, NOUN 

, SPACE 
Ace, PROPN 
Hanovia, PROPN 
lamp, NOUN 
resulted, VERB 
precipitation, NOUN 

, SPACE 
orange, NOUN 
solid, ADJ 
reaction, NOUN 
mixture, NOUN 
IR, PROPN 
~H, PUNCT 
NMR, PROPN 

, SPACE 
showed, VERB 
solid, ADJ 
identical, ADJ 
Ru(CO)2CI]2(v, PROPN 
s, PROPN 

, SPACE 
v, PROPN 
S, PROPN 
C, PROPN 
s, PART 
H, PROPN 
4CH, PROPN 
2C, PROPN 
s, PART 
H, NOUN 
41, NUM 
Removal, NOUN 
solvent, NOUN 
reac-, ADJ 

, SPACE 
tion, NOUN 
mixture, NOUN 
chromatography, NOUN 
described, VERB 

, SPACE 
gave, VERB 
VIII, PROPN 
sole, ADJ 
additional, ADJ 
reaction, NOUN 
product, NOUN 

, SPACE 
solutions, NOUN 
hydride, NOUN 
VII, PROPN 
exposed, VERB 

, SPACE 
air, NOUN 
red, ADJ 
precipitate, NOUN 
formed, VERB 
quickly, ADV 
red, ADJ 
solid, ADJ 

, SPACE 
melt, VERB 
300, NUM 
°, NUM 
C, NOUN 
compound, NOUN 
poorly, ADV 
soluble, ADJ 

, SPACE 
common, ADJ 
solvents, NOUN 
IR, PROPN 
CH2CI, PROPN 
2, NUM 
1945, NUM 
1766, NUM 

, SPACE 
cm, PROPN 
-I., ADJ 
IH, PROPN 
NMR, PROPN 
CDCij, PROPN 
6.44, NUM 
q, PROPN 
IH, PROPN 
Cp, PROPN 
5.97, NUM 
q, PROPN 

, SPACE 
IH, PROPN 
Cp, PROPN 
5.42, NUM 
q, PROPN 
IH, PROPN 
Cp, PROPN 
5.43, NUM 
q, PROPN 
IU, PROPN 
Cp, PROPN 
4.98, NUM 
t, PROPN 

, SPACE 
IH, PROPN 
Cp, PROPN 
4.76, NUM 
m, PROPN 
IH, PROPN 
Cp, PROPN 
3.29, NUM 
2.34, NUM 
AB, NOUN 
quarter, NOUN 

, SPACE 
^-B-, VERB 
16.2, NUM 
Hz, PROPN 
2H, PROPN 
CH2, PROPN 
2.33, NUM 
dd, PROPN 
IH, PROPN 
Cp, PROPN 
J, PROPN 
~, PROPN 
C, PROPN 

, SPACE 
NMR, PROPN 
CDCI, PROPN 
3, NUM 
200.1, NUM 
Ru, PROPN 
CO, PROPN 
198.3, NUM 
Ru, PROPN 
CO, PROPN 
128.9, NUM 

, SPACE 
ipso, PROPN 
Cp, PROPN 
113.7, NUM 
ipso, PROPN 
Cp, PROPN 
101.6, NUM 
Cp, PROPN 
98.5, NUM 
Cp, PROPN 
95.7, NUM 

, SPACE 
Cp, PROPN 
94.2, NUM 
Cp, PROPN 
91.7, NUM 
Cp, PROPN 
85.8, NUM 
Cp, PROPN 
84.0, NUM 
Cp, PROPN 
70.8, NUM 

, SPACE 
Cp, PROPN 
25.6, NUM 
CH2, PROPN 
Note, NOUN 
13C, NUM 
NMR, PROPN 
spectrum, NOUN 

, SPACE 
poor, ADJ 
quality, NOUN 
low, ADJ 
signal, NOUN 
noise, VERB 
high, ADJ 
confi-, NOUN 

, SPACE 
dence, NOUN 
resonances, NOUN 
reported, VERB 

, SPACE 
5.3, X 
Photolysis, NOUN 
Ruz(CO)J'~,~S, PROPN 
C, NOUN 
~, NOUN 
H4(CH.~)zCCj, X 

, SPACE 
H, PROPN 
iv, X 

, SPACE 
NMR, PROPN 
sample, NOUN 
IV, PROPN 
prepared, VERB 
dissolving, VERB 

, SPACE 
compound, NOUN 
C6D, PROPN 
6, NUM 
degassing, VERB 
solution, NOUN 

, SPACE 
freeze, NOUN 
pump, NOUN 
thaw, NOUN 
cycles, NOUN 
sample, NOUN 
placed, VERB 

, SPACE 
Pyrex, PROPN 
water, NOUN 
jacket, NOUN 
photolyzed, VERB 
350, NUM 
W, PROPN 
high, ADJ 
pressure, NOUN 
UV, NOUN 
lamp, NOUN 
24, NUM 
min, NOUN 
JH, PROPN 
NMR, PROPN 
C6D, PROPN 
6, NUM 

, SPACE 
4.94, NUM 
IH, PROPN 
Cp, PROPN 
4.76, NUM 
IH, PROPN 
Cp, PROPN 
4.73, NUM 
1H, PROPN 
Cp, PROPN 
4.68, NUM 
1H, PROPN 

, SPACE 
Cp, PROPN 
4.67, NUM 
IH, PROPN 
Cp, PROPN 
4.50, NUM 
Ia, PROPN 
Cp, PROPN 
4.33, NUM 
18, NUM 
Cp, PROPN 
1.25, NUM 

, SPACE 
JH, PROPN 
CHj, PROPN 
0.95, NUM 
3H, PROPN 
CH3, PROPN 
-10.23, INTJ 
s, PROPN 
IH, PROPN 
Ru, PROPN 
H, PROPN 

, SPACE 
13C, NUM 
NMR, NOUN 
C6D, PROPN 
6, NUM 
203.3, NUM 
Ru, PROPN 
CO, PROPN 
200.1, NUM 
Ru, PROPN 
CO, PROPN 

, SPACE 
199.5, NUM 
2, NUM 
C, NOUN 
Ru(CO)2H, NOUN 
143.8, NUM 
ipso, PROPN 
Cp, PROPN 
137.9, NUM 
ipso, PROPN 

, SPACE 
Cp, PROPN 
100.0, NUM 
ipso, PROPN 
Cp, PROPN 
91.8, NUM 
Cp, PROPN 
88.8, NUM 
Cp, PROPN 
84.4, NUM 
Cp, PROPN 

, SPACE 
84.0, NUM 
Cp, PROPN 
82.9, NUM 
Cp, PROPN 
82.0, NUM 
Cp, PROPN 
81.2, NUM 
Cp, PROPN 
35.6, NUM 

, SPACE 
C(CHj)2, PROPN 
34.5, NUM 
CHj, NOUN 
29.7, NUM 
CHj, NOUN 

, SPACE 
Photolysis, NOUN 
100, NUM 
mg, NOUN 
sample, NOUN 
IV, PROPN 
3:1, NUM 

, SPACE 
C6H6, PROPN 
CHCI, PROPN 
3, NUM 
Pyrex, PROPN 
vessel, NOUN 
30, NUM 
min, NOUN 
350, NUM 

, SPACE 
W, PROPN 
high, ADJ 
pressure, NOUN 
Fig, PROPN 
lamp, NOUN 
gave, VERB 
red, ADJ 
orange, NOUN 
solution, NOUN 

, SPACE 
removal, NOUN 
solvem, NOUN 
solid, ADJ 
chro-, PROPN 

, SPACE 
matographed, VERB 
alumina, PROPN 
1:1, NUM 
petroleum, NOUN 
ether:.di-, PRON 

, SPACE 
chloromethane, VERB 
eluant, NOUN 
intense, ADJ 
yellow, ADJ 
band, NOUN 

, SPACE 
eluted, VERB 
column, NOUN 
gave, VERB 
IX, PROPN 
quantita-, ADJ 

, SPACE 
tive, NOUN 
yield, NOUN 
Physical, ADJ 
spectral, ADJ 
properties, NOUN 
IX, PROPN 
pre-, NOUN 

, SPACE 
pared, VERB 
manner, NOUN 
identical, ADJ 
sample, NOUN 
recov-, NOUN 

, SPACE 
ered, VERB 
product, NOUN 
reaction, NOUN 

, SPACE 
CHj)2C(CsH4TI, PROPN 
2, NUM 
CI2Ru(CO)3, NOUN 
2, NUM 
reported, VERB 

, SPACE 
previously, ADV 
7b, NOUN 

, SPACE 
5.4, X 
Photochemical, ADJ 
studies, NOUN 
Ruz(CO)~(~5,cI~.CsH4-, NOUN 

, SPACE 
C2H4CaH4, PROPN 
V, PROPN 

, SPACE 
Photolysis, PROPN 
NMR, PROPN 
sample, NOUN 
V, NOUN 
C6D6, PROPN 
50, NUM 

, SPACE 
min, NOUN 
room, NOUN 
temperature, NOUN 
resulted, VERB 
appearance, NOUN 

, SPACE 
Ru, PROPN 
H, PROPN 
resonances, NOUN 
-10.38, PUNCT 
-17.34, PUNCT 
ppm, NOUN 

, SPACE 
complex, ADJ 
set, NOUN 
resonances, NOUN 
ring, NOUN 
ethylene, NOUN 

, SPACE 
bridge, NOUN 
regions, NOUN 
IR, PROPN 
solution, NOUN 
showed, VERB 
product, NOUN 
bands, NOUN 

, SPACE 
2032, NUM 
2028, NUM 
1976, NUM 
cm, NOUN 
-I., ADJ 
addition, NOUN 

, SPACE 
dichloromethane, NOUN 
photolysis, NOUN 
solution, NOUN 
new, ADJ 
IR, PROPN 

, SPACE 
bands, NOUN 
found, VERB 
2045, NUM 
2033, NUM 
1988, NUM 
cm, NOUN 
°, PROPN 
l., VERB 

, SPACE 
HPLC, PROPN 
products, NOUN 
reaction, NOUN 
contained, VERB 

, SPACE 
major, ADJ 
product, NOUN 
band, NOUN 
subsequently, ADV 
shown, VERB 

, SPACE 
X, NOUN 
comparison, NOUN 
authentic, ADJ 
sample, NOUN 

, SPACE 
second, ADJ 
lesser, ADJ 
band, NOUN 
identity, NOUN 

, SPACE 
established, VERB 

, SPACE 
10, NUM 
mg, NOUN 
sample, NOUN 
V, NOUN 
neat, ADJ 
CHCi~, NOUN 
micropho-, ADJ 

, SPACE 
tolysis, NOUN 
cell, NOUN 
photolyzed, VERB 
30, NUM 
rain, NOUN 
350, NUM 
W, PROPN 

, SPACE 
high, ADJ 
pressure, NOUN 
Hg, PROPN 
lamp, NOUN 
removal, NOUN 
solvent, NOUN 

, SPACE 
resulting, VERB 
red, ADJ 
solid, ADJ 
separated, VERB 
chromatography, NOUN 

, SPACE 
alumina, PROPN 
I:1, ADJ 
petroleum, NOUN 
ether, ADP 
dichloromethane, VERB 

, SPACE 
eluant, NOUN 
yellow, ADJ 
band, NOUN 
collected, VERB 

, SPACE 
stripped, VERB 
solvent, NOUN 
X, PROPN 
orange, PROPN 
crystalline, NOUN 

, SPACE 
solid, ADJ 
IR, PROPN 
CDCI0, PROPN 
2042, NUM 
2032, NUM 
1978, NUM 
cm, PROPN 
i., PROPN 
H, PROPN 
NMR, PROPN 

, SPACE 
CDCI, PROPN 
3, NUM 
5.42, NUM 
m, PROPN 
2H, PROPN 
Cp, PROPN 
5.37, NUM 
q, PROPN 
IH, PROPN 
Cp, PROPN 
5.33, NUM 
t, PROPN 

, SPACE 
H, PROPN 
Cp, PROPN 
5.20, NUM 
q, PROPN 
H, PROPN 
Cp, PROPN 
5.15, NUM 
q, PROPN 
H, PROPN 
Cp, PROPN 
4.68, NUM 
t, PROPN 

, SPACE 
IH, PROPN 
Cp, PROPN 
2.76, NUM 
ddd, NOUN 
Ji.2~=4.0, PROPN 
Hz, PROPN 
Jr_3, NUM 
3.3, NUM 
Hz, PROPN 

, SPACE 
Ji-4, PROPN 
=, SYM 
14.6, NUM 
Hz, PROPN 
IH, PROPN 
H, PROPN 
l, PROPN 
2.62, NUM 
ddd, NOUN 
2, NUM 
3, NUM 
m, NOUN 
15.3, NUM 
Hz, PROPN 

, SPACE 
2, NUM 
4, NUM 
--'~, NOUN 
3.1, NUM 
Hz, PROPN 
IH, PROPN 
H-2, PROPN 
2.33, NUM 
ddd, NOUN 
3-, NUM 
4, NUM 
12.2, NUM 
Hz, PROPN 

, SPACE 
IH, PROPN 
H-3, NOUN 
2.17, NUM 
ddd, PROPN 
IH, PROPN 
H-4, ADV 
13C, NUM 
NMR, NOUN 
CDCI, PROPN 
3, NUM 

, SPACE 
199.2, NUM 
Ru, PROPN 
CO, PROPN 
198.1, NUM 
Ru, PROPN 
CO, PROPN 
198.1, NUM 
2C, PROPN 
Ru, PROPN 
CO, PROPN 

, SPACE 
117.4, NUM 
ipso, PROPN 
Cp, PROPN 
116.7, NUM 
ipso, PROPN 
Cp, PROPN 
109.3, NUM 
ipso, PROPN 
Cp, PROPN 
89.5, NUM 

, SPACE 
Cp, PROPN 
88.8, NUM 
Cp, PROPN 
87.9, NUM 
Cp, PROPN 
87.1, NUM 
Cp, PROPN 
85.6, NUM 
Cp, PROPN 
85.4, NUM 


, SPACE 
20, NUM 
I.E., PROPN 
Bincr~)~f, NOUN 
ct, NOUN 
aL, PROPN 
Journal, PROPN 
Organcw~¢tallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
13, NUM 
21, NUM 

, SPACE 
Cp, PROPN 
76.1, NUM 
Cp, PROPN 
29.2, NUM 
C, NOUN 
H-2, PROPN 
H-3, NOUN 
24.7, NUM 
C, PROPN 
H, NOUN 

, SPACE 
H-4, ADV 

, SPACE 
second, ADJ 
yellow, ADJ 
band, NOUN 
column, NOUN 
iso-, ADJ 

, SPACE 
lated, VERB 
stripped, VERB 
solvent, NOUN 
gave, VERB 
trace, NOUN 

, SPACE 
Ru(CO)zCi]2OIs,~/5, PROPN 
CsH4CH2CsH4, PROPN 
yellow, ADJ 
solid, ADJ 

, SPACE 
lit, VERB 
CH2C12, NOUN 
2052, NUM 
2002, NUM 
cm, NOUN 
-t, PUNCT 
H, NOUN 
NMR, PROPN 
CDCI, PROPN 
3, NUM 

, SPACE 
5.29, NUM 
5.1, NUM 
A2B, PROPN 
2, NUM 
triplets, NOUN 
8H, PROPN 
Cp, PROPN 
2.55, NUM 
s, PROPN 
4H, PROPN 

, SPACE 
CzH4, NUM 
13C, NUM 
NMR, NOUN 
CDCI~, PROPN 
195.8, NUM 
Ru, PROPN 
CO, PROPN 
83.7, NUM 
Cp, PROPN 

, SPACE 
83.7, NUM 
ipso, PROPN 
Cp, PROPN 
81.9, NUM 
Cp, PROPN 
26.0, NUM 
C2H4, PROPN 

, SPACE 
5.5, X 
Photolysis, NOUN 
Ruz(CO)J, PRON 
~, PUNCT 
Is,~S, PROPN 
Cs, ADJ 
H4(CH3, PROPN 
zSiCs, PROPN 

, SPACE 
H,/., NOUN 
W, PROPN 

, SPACE 
NMR, PROPN 
samples, NOUN 
Vl, PROPN 
photolyzed, VERB 
CeD, PROPN 
e, NOUN 

, SPACE 
C6DsCD, NOUN 
3, NUM 
solvents, NOUN 
Ace, PROPN 
Hanovia, PROPN 
appa-, PROPN 

, SPACE 
ratus, NOUN 
Spectra, PROPN 
recorded, VERB 
5, NUM 
10, NUM 
min, NOUN 
photoly-, PROPN 

, SPACE 
sis, NOUN 
contained, VERB 
complex, ADJ 
ring, NOUN 
regions, NOUN 
new, ADJ 
Me2Si, NOUN 
reso-, NOUN 

, SPACE 
nances, NOUN 
0.59, NUM 
0.33, NUM 
ppm, NOUN 
Ru, PROPN 
H, PROPN 
resonance, NOUN 

, SPACE 
-10.41, PRON 
ppm, NOUN 
continued, ADJ 
photolysis, NOUN 
ring, VERB 
reso-, X 

, SPACE 
nances, NOUN 
5.10, NUM 
4.88, NUM 
4.61, NUM 
4.45, NUM 
Me2Si, NOUN 

, SPACE 
resonance, NOUN 
0.60, NUM 
ppm, PROPN 
increased, VERB 
resonances, NOUN 
asso-, ADV 

, SPACE 
ciated, VERB 
hydride, ADJ 
species, NOUN 
decreased, VERB 
2, NUM 
h, NOUN 

, SPACE 
photolysis, NOUN 
traces, NOUN 
Ru, PROPN 
H, PROPN 
species, NOUN 

, SPACE 
observed, VERB 
Removal, NOUN 
solvent, NOUN 
followed, VERB 
chromatogra-, PROPN 

, SPACE 
phy, NOUN 
0, NUM 
cm, NOUN 
×, PROPN 
3, NUM 
mm, NOUN 
alumina, PROPN 
column, NOUN 
:1, PUNCT 

, SPACE 
petroleum, NOUN 
ether, ADP 
dichloromethane, VERB 
eluant, NOUN 
recovered, VERB 

, SPACE 
Xll, PROPN 
pale, ADJ 
yellow, ADJ 
oil, NOUN 
IR, PROPN 
CH2CI, PROPN 
2, NUM 
2032, NUM 
1999, NUM 

, SPACE 
1973, NUM 
1937, NUM 
cm, PROPN 
-I., ADJ 
IH, PROPN 
NMR, PROPN 
CeD, PROPN 
e, PROPN 
5.10, NUM 
t, PROPN 
2H, PROPN 
Cp, PROPN 

, SPACE 
4.88, NUM 
t, PROPN 
2H, PROPN 
Cp, PROPN 
4,61, NUM 
t, PROPN 
2H, PROPN 
Cp, PROPN 
4.45, NUM 
t, PROPN 
2H, PROPN 
Cp, PROPN 
0.60, NUM 

, SPACE 
s, PROPN 
6H, NOUN 
Mefli, PROPN 
MS, PROPN 
El, NOUN 
500, NUM 
M+, NUM 
472, NUM 
M+-CO, NOUN 

, SPACE 
444, NUM 
M+-2CO, PROPN 
416, NUM 
M+-3CO, PROPN 
388, NUM 
M*-4CO, PROPN 

, SPACE 
Similar, ADJ 
NMR, PROPN 
scale, NOUN 
photolyses, NOUN 
carried, VERB 

, SPACE 
optical, ADJ 
filters, NOUN 
<, X 
450, NUM 
nm, NOUN 
400, NUM 
<, X 
~, PUNCT 
<, X 
500, NUM 
nm, NOUN 

, SPACE 
affecting, VERB 
observed, VERB 
results, NOUN 
sample, NOUN 
Vi, PROPN 

, SPACE 
C6DsCD, PROPN 
~, PUNCT 
photolyzed, VERB 
5, NUM 
rain, NOUN 
shown, VERB 

, SPACE 
NMR, PROPN 
contain, VERB 
hydride, NOUN 
Xll, PROPN 
storage, NOUN 

, SPACE 
overnight, ADV 
dark, NOUN 
sample, NOUN 
showed, VERB 
complete, ADJ 

, SPACE 
decomposition, NOUN 
hydride, NOUN 
change, NOUN 
relative, ADJ 

, SPACE 
amounts, NOUN 
V, PROPN 
Xli, PROPN 
similarly, ADV 
prepared, ADJ 
sample, NOUN 

, SPACE 
hydride, NOUN 
decomposed, VERB 
5, NUM 
rain, NOUN 
65, NUM 
