Determining, VERB 
bone, NOUN 

, SPACE 
suffer, VERB 
major, ADJ 
methodological, ADJ 
drawbacks, NOUN 
disparity, NOUN 

, SPACE 
testing, NOUN 
setups, NOUN 
results, NOUN 
41, NUM 
drawbacks, NOUN 
enhanced, VERB 

, SPACE 
dealing, VERB 
long, ADJ 
bones, NOUN 
young, ADJ 
mice, NOUN 
relatively, ADJ 
thincortices, NOUN 
surprising, ADJ 
studies, NOUN 

, SPACE 
reported, VERB 
elastic, ADJ 
modulus, NOUN 
mice, NOUN 
young, ADJ 
age, NOUN 

, SPACE 
bending, VERB 
tests, NOUN 
Studies, NOUN 
conducted, VERB 
van, PROPN 
Lenthe, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
41, NUM 
shown, VERB 
moduli, NOUN 
determined, VERB 
mice, PROPN 
femora, PROPN 
based, VERB 

, SPACE 
beam, NOUN 
theory, NOUN 
greatly, ADV 
underestimate, VERB 
tissue, NOUN 
modulus, NOUN 
especiallyin, NOUN 
mice, NOUN 
relatively, ADV 
thin, ADJ 
cortices, NOUN 
large, ADJ 
midshaft, NOUN 
diameter, NOUN 

, SPACE 
B6, NOUN 
strain, NOUN 
researchers, NOUN 
micro-, NOUN 
ﬁnite, NOUN 
element, NOUN 
analysis, NOUN 

, SPACE 
correct, VERB 
bias, NOUN 
obtained, VERB 
values, NOUN 
12.0±1.3, PROPN 
GPa, NOUN 
15, NUM 
weekold, ADJ 
B6, NOUN 
mice, NOUN 

, SPACE 
elastic, ADJ 
moduli, NOUN 
mouse, PROPN 
cortical, ADJ 
bone, NOUN 
determined, VERB 
nano-, ADJ 

, SPACE 
indentation, NOUN 
higher, ADJ 
age, NOUN 
groups, NOUN 
obtained, VERB 

, SPACE 
fro, NOUN 

, SPACE 
m, AUX 
bending, VERB 
tests, NOUN 
3,8,17,20,26,36,38, NOUN 
Miller, PROPN 
et, PROPN 
al, PROPN 
26, NUM 
reported, VERB 

, SPACE 
Table, PROPN 
2, NUM 

, SPACE 
Elastic, ADJ 
modulus, NOUN 
ULTEM, PROPN 
1000, NUM 
®, NOUN 
GPa, NOUN 

, SPACE 
ManufactureraESPI, NUM 
ULTEM, PROPN 
tubes, NOUN 
ESPI, ADJ 
ULTEM, PROPN 
cubesb, NOUN 

, SPACE 
n=1, PROPN 
0, NUM 

, SPACE 
Data, PROPN 
3.52, NUM 
GPa, NOUN 
3.22±0.06, PROPN 
GPa, PROPN 
n=1, PROPN 
3.42±0.10, PROPN 
GPa, NOUN 

, SPACE 
3.26±0.05, PROPN 
GPa, NOUN 
n=1, PROPN 
3.43±0.10, PROPN 
GPa, NOUN 

, SPACE 
3.53±0.06, PROPN 
GPa, NOUN 
n=1, PROPN 

, SPACE 
Mean±SD, X 
3.52, NUM 
GPa, NOUN 
3.34±0.14, PROPN 
GPa, NOUN 
3.43±0.005, PROPN 
GPa, NOUN 

, SPACE 
aGE, NOUN 
Plastics, PROPN 
ULTEM, PROPN 
1000, NUM 
®, NOUN 
Data, PROPN 
Sheet, PROPN 
based, VERB 
point, NOUN 
bending, VERB 
tests, NOUN 
SD, NOUN 

, SPACE 
provided, VERB 

, SPACE 
bShahar, PROPN 
et, PROPN 
al, PROPN 
33, NUM 
based, VERB 
compression, NOUN 
tests, NOUN 
determined, VERB 
different, ADJ 

, SPACE 
calculation, NOUN 
methods, NOUN 
Table, NOUN 
3, NUM 

, SPACE 
Elastic, ADJ 
modulus, NOUN 
E, NOUN 
point, NOUN 
bending, VERB 
tests, NOUN 
5, NUM 
mm, NOUN 
support, NOUN 
span, NOUN 

, SPACE 
Specimen, PROPN 
S(N, PROPN 
mm, PROPN 
I(mm4)aE(GPa, PROPN 

, SPACE 
301, NUM 
34, NUM 
0.109, NUM 
0.812302, NUM 
23, NUM 
0.093, NUM 
0.644303, NUM 
27, NUM 
0.091, NUM 
0.772304, NUM 
40, NUM 
0.096, NUM 
1.080305, NUM 
47, NUM 
0.110, NUM 
1.112, NUM 

, SPACE 
SSlope, PROPN 
linear, ADJ 
portion, NOUN 
load, NOUN 
displacement, NOUN 
curve, NOUN 

, SPACE 
ICross, ADJ 
sectional, ADJ 
moment, NOUN 
inertia, NOUN 

, SPACE 
aBased, VERB 
Micro, PROPN 
CT, PROPN 
data, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
Mean, ADJ 
elastic, ADJ 
moduli, NOUN 
SD, NOUN 
provided, VERB 
ﬁve, NOUN 
week, NOUN 
old, ADJ 
mice, NOUN 
femora, PROPN 

, SPACE 
tibia, PROPN 
different, ADJ 
testing, NOUN 
methods, NOUN 
3, X 
PB, PROPN 
point, NOUN 
bending, NOUN 
4, NUM 
PB, PROPN 
point, NOUN 

, SPACE 
bending, NOUN 
ESPI, PROPN 
electronic, ADJ 
speckle, NOUN 
pattern, NOUN 
interferometry, NOUN 
NI, PROPN 
nanoindentation, NOUN 

, SPACE 
unpublished, ADJ 
point, NOUN 
bending, VERB 
study, NOUN 
conducted, VERB 
Laboratory, PROPN 
Biome, PROPN 
chanics, NOUN 
School, PROPN 
Veterinary, PROPN 
Medicine, PROPN 
Faculty, PROPN 
Agriculture, PROPN 
Hebrew, PROPN 
University, PROPN 
Jerusalem, PROPN 
Israel.88, VERB 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
values, NOUN 
ranging, VERB 
21, NUM 
28, NUM 
GPa, NOUN 
30, NUM 
day, NOUN 
old, ADJ 
BALB, PROPN 
cByJ, NOUN 

, SPACE 
female, ADJ 
mice, NOUN 
tibia, PROPN 
Jiao, PROPN 
et, PROPN 
al, PROPN 
17]report, NUM 
values, NOUN 
20.9±1.6, NUM 
GPa, NOUN 

, SPACE 
4, NUM 
week, NOUN 
old, ADJ 
C3H, PROPN 
female, ADJ 
tibia, NOUN 
bones, NOUN 
hydrated, VERB 
butnot, NOUN 
long, ADJ 
process, NOUN 
testing, NOUN 
Somerville, PROPN 
et, PROPN 
al, PROPN 
37, NUM 

, SPACE 
ultrasound, NOUN 
determine, VERB 
longitudinal, ADJ 
bulk, ADJ 
elastic, ADJ 
modulus, NOUN 
onemonth, ADJ 
old, ADJ 
B6, NOUN 
mice, NOUN 
tibia, NOUN 
report, VERB 
15.5, NUM 
GPa, NOUN 
females, NOUN 
17.9, NUM 
GPa, NOUN 

, SPACE 
males, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
shows, VERB 
nanoindentation, NOUN 
point, NOUN 
bending, NOUN 
ESPI, PROPN 

, SPACE 
produce, VERB 
different, ADJ 
elastic, ADJ 
moduli, NOUN 
bones, NOUN 
age, NOUN 
matched, VERB 
mice, NOUN 
bending, VERB 
tests, NOUN 
ESPI, PROPN 
provide, VERB 
information, NOUN 

, SPACE 
different, ADJ 
length, NOUN 
scale, NOUN 
compared, VERB 
nanoindentation, NOUN 

, SPACE 
means, NOUN 
evaluating, VERB 
method, NOUN 
produces, VERB 
accu-, ADJ 

, SPACE 
rate, NOUN 
results, NOUN 
advantage, NOUN 
correlation, NOUN 
mineral, NOUN 

, SPACE 
content, NOUN 
elastic, ADJ 
modulus, NOUN 
bones, NOUN 
diverse, ADJ 
sources, NOUN 
9–11].W, NUM 
e, NOUN 

, SPACE 
determined, VERB 
ash, NOUN 
mass, NOUN 
ash, NOUN 
weight, NOUN 
dry, ADJ 
weight, NOUN 
⁎100, PROPN 
3, NUM 

, SPACE 
femoral, ADJ 
segments, NOUN 
frozen, VERB 
months, NOUN 
obtained, VERB 
value, NOUN 
63, NUM 

, SPACE 
±0.9, ADJ 
converting, VERB 
ash, NOUN 
mass, NOUN 
mg, PROPN 
g, PROPN 
bone, NOUN 

, SPACE 
inserting, VERB 
mean, ADJ 
value, NOUN 
regression, NOUN 
equation, NOUN 
suggested, VERB 

, SPACE 
Currey, PROPN 
11, NUM 
elastic, ADJ 
modulus, NOUN 
obtained, VERB 
13.8, NUM 
GPa, NOUN 
values, NOUN 

, SPACE 
measured, VERB 
frozen, ADJ 
samples, NOUN 
close, ADJ 
value, NOUN 
indicating, VERB 
thatESPI, PROPN 
measurements, NOUN 
accurate, ADJ 
conversion, NOUN 
based, VERB 

, SPACE 
atomic, ADJ 
weight, NOUN 
calcium, NOUN 
chemical, ADJ 
formulas, NOUN 
carbonate, PROPN 

, SPACE 
hydroxylapitite, NOUN 
proportion, NOUN 
carbonated, VERB 
hydroxylapatite, NOUN 

, SPACE 
39.8, NUM 
63, NUM 
ash, NOUN 
mass, NOUN 
63, NUM 
g/100, PROPN 
g, NOUN 
bone, NOUN 
corresponds, VERB 

, SPACE 
63⁎0.398−25.1, NOUN 
g/100, PROPN 
g, PROPN 
bone, NOUN 
turn, NOUN 
corresponds, VERB 

, SPACE 
251, NUM 
mg, PROPN 
g, PROPN 
bone, NOUN 

, SPACE 
study, NOUN 
noted, VERB 
elastic, ADJ 
moduli, NOUN 
bone, NOUN 
segments, NOUN 

, SPACE 
frozen, VERB 
−20, PROPN 
°, NUM 
C, PROPN 
period, NOUN 
months, NOUN 
signi, NOUN 
ﬁcantly, ADV 

, SPACE 
higher, ADJ 
compared, VERB 
frozen, VERB 
brief, ADJ 
week, NOUN 
period, NOUN 
tested, VERB 

, SPACE 
fresh, ADJ 
Table, NOUN 
1, NUM 
Despite, SCONJ 
general, ADJ 
agreement, NOUN 
freezing, VERB 
−20, PROPN 
°, NUM 
C, PROPN 

, SPACE 
little, ADJ 
effect, NOUN 
elastic, ADJ 
modulus, NOUN 
bones, NOUN 
different, ADJ 
species[23, NOUN 
effects, NOUN 
freezing, VERB 
young, ADJ 
murine, NOUN 
bones, NOUN 

, SPACE 
studied, VERB 
Recently, ADV 
Nazarian, PROPN 
et, PROPN 
al, PROPN 
27]compared, NUM 
effects, NOUN 
freezing, NOUN 

, SPACE 
formalin, NOUN 
ﬁxation, NOUN 
16, NUM 
week, NOUN 
old, ADJ 
B6, NOUN 
mice, NOUN 
vertebrae, NOUN 
long, ADJ 

, SPACE 
bones, NOUN 
authors, NOUN 
found, VERB 
difference, NOUN 
elastic, ADJ 
moduli, NOUN 
offresh, NOUN 
vs., ADP 
frozen/, NOUN 
ﬁxed, VERB 
samples, NOUN 
point, NOUN 
bending, VERB 
method, NOUN 

, SPACE 
study, NOUN 
examined, VERB 
bones, NOUN 
older, ADJ 
mice, NOUN 
frozenfor, ADP 
week, NOUN 
period, NOUN 
compared, VERB 
months, NOUN 
study, NOUN 

, SPACE 
separate, ADJ 
detailed, ADJ 
investigation, NOUN 
warranted, VERB 

, SPACE 
results, NOUN 
point, VERB 
possible, ADJ 
effects, NOUN 
long, ADJ 
term, NOUN 
freezing, NOUN 
elasticmodulus, NOUN 
bone, NOUN 
underline, VERB 
high, ADJ 
sensitivity, NOUN 
ESPI, PROPN 

, SPACE 
method, NOUN 

, SPACE 
conclude, VERB 
ESPI, PROPN 
based, VERB 
method, NOUN 
described, VERB 

, SPACE 
accurately, ADV 
precisely, ADV 
measure, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 

, SPACE 
mouse, NOUN 
cortical, ADJ 
bone, NOUN 
compression, NOUN 
submerged, VERB 
water, NOUN 

, SPACE 
measurements, NOUN 
physiologically, ADV 
relevant, ADJ 

, SPACE 
conditions, NOUN 
technique, NOUN 
mechanically, ADV 
test, VERB 

, SPACE 
millimeter, NOUN 
sized, ADJ 
cortical, ADJ 
bone, NOUN 
segments, NOUN 
standard, ADJ 
compression, NOUN 

, SPACE 
test, NOUN 
providing, VERB 
alternative, NOUN 
bone, NOUN 
bending, VERB 
tests, NOUN 

, SPACE 
underestimate, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
mice, NOUN 
long, ADJ 
bones, NOUN 

, SPACE 
Finally, ADV 
high, ADJ 
resolution, NOUN 
mapping, NOUN 
mouse, NOUN 
genome, NOUN 
35]and, CCONJ 

, SPACE 
availability, NOUN 
multitude, NOUN 
genetically, ADV 
altered, VERB 
mouse, NOUN 
models, NOUN 
haverendered, VERB 
mouse, NOUN 
studied, VERB 
skeletal, ADJ 
systems, NOUN 
bone, NOUN 

, SPACE 
research, NOUN 
invaluable, ADJ 
tool, NOUN 
understanding, NOUN 
major, ADJ 
bone, NOUN 

, SPACE 
disease, NOUN 
osteoporosis, NOUN 
24,25,31, NUM 
ESPI, PROPN 

, SPACE 
future, ADJ 
studies, NOUN 
gain, VERB 
better, ADJ 
insights, NOUN 
speci, NOUN 
ﬁc, VERB 
mutations, NOUN 

, SPACE 
treatments, NOUN 
affect, VERB 
quality, NOUN 
bone, NOUN 
tissue, NOUN 
mice, NOUN 
models, NOUN 

, SPACE 
Acknowledgments, NOUN 

, SPACE 
thank, VERB 
Dr., PROPN 
Meir, PROPN 
M., PROPN 
Barak, PROPN 
Prof., PROPN 
John, PROPN 
Currey, PROPN 
helpful, ADJ 

, SPACE 
input, NOUN 
Dr., PROPN 
Josh, PROPN 
Milgram, PROPN 
technical, ADJ 
support, NOUN 
Support, NOUN 

, SPACE 
research, NOUN 
provided, VERB 
Kekst, PROPN 
Family, PROPN 
Center, PROPN 
Medical, PROPN 

, SPACE 
Genetics, PROPN 
Weizmann, PROPN 
Institute, PROPN 
S., PROPN 
W., PROPN 
incumbent, NOUN 

, SPACE 
Dr., PROPN 
Walter, PROPN 
Dr., PROPN 
Trude, PROPN 
Burchardt, PROPN 
Professorial, PROPN 
Chair, PROPN 
Structural, PROPN 

, SPACE 
Biology, PROPN 
References, NOUN 

, SPACE 
1, NUM 
Akhter, PROPN 
MP, PROPN 
Cullen, PROPN 
DM, PROPN 
Gong, PROPN 
G, PROPN 
Recker, PROPN 
RR, PROPN 
Bone, NOUN 
biomechanical, ADJ 
properties, NOUN 

, SPACE 
prostaglandin, NOUN 
EP1, PROPN 
EP2, PROPN 
knockout, NOUN 
mice, NOUN 
Bone, NOUN 
2001;29:121, NOUN 
5, NUM 

, SPACE 
2, X 
Akhter, PROPN 
MP, PROPN 
Cullen, PROPN 
DM, PROPN 
Pan, PROPN 
LC, PROPN 
Bone, NOUN 
biomechanical, ADJ 
properties, NOUN 
EP4, PROPN 
knockout, NOUN 

, SPACE 
mice, NOUN 
Calcif, PROPN 
Tissue, PROPN 
Int, PROPN 
2006;78:357, NOUN 
62, NUM 

, SPACE 
3, X 
Akhter, PROPN 
MP, PROPN 
Fan, PROPN 
Z, PROPN 
Rho, PROPN 
JY, PROPN 
Bone, NOUN 
intrinsic, ADJ 
material, NOUN 
properties, NOUN 
inbred, VERB 
mouse, NOUN 

, SPACE 
strains, VERB 
Calcif, PROPN 
Tissue, PROPN 
Int, PROPN 
2004;75:416, NOUN 
20, NUM 

, SPACE 
4, X 
Barak, PROPN 
MM, PROPN 
Weiner, PROPN 
S, PROPN 
Shahar, PROPN 
R., PROPN 
Importance, PROPN 
integrity, NOUN 
trabecular, ADJ 
bone, NOUN 

, SPACE 
relationship, NOUN 
load, NOUN 
deformation, NOUN 
rat, PROPN 
femora, PROPN 
optical, ADJ 
metrology, NOUN 

, SPACE 
study, NOUN 
J, PROPN 
Mater, PROPN 
Chem, PROPN 
2008;18:3855, NOUN 
64, NUM 

, SPACE 
5, X 
Barak, PROPN 
MM, PROPN 
Sharir, PROPN 
Shahar, PROPN 
R., PROPN 
Optical, PROPN 
metrology, NOUN 
methods, NOUN 
mechanical, ADJ 
testing, NOUN 

, SPACE 
bones, NOUN 
Vet, PROPN 
J, PROPN 
2008, NUM 

, SPACE 
6, X 
Beaupied, PROPN 
H, PROPN 
Lespessailles, PROPN 
E, PROPN 
Benhamou, PROPN 
CL, PROPN 
Evaluation, NOUN 
macrostructural, ADJ 
bone, NOUN 

, SPACE 
biomechanics, NOUN 
Jt, PROPN 
Bone, PROPN 
Spine, PROPN 
2007;74:233, PROPN 
9, NUM 

, SPACE 
7, X 
Brodt, PROPN 
MD, PROPN 
Ellis, PROPN 
CB, PROPN 
Silva, PROPN 
MJ, PROPN 
Growing, VERB 
C57Bl/6, NOUN 
mice, NOUN 
increase, VERB 
bone, NOUN 

, SPACE 
mechanical, ADJ 
properties, NOUN 
increasing, VERB 
geometric, ADJ 
material, NOUN 
properties, NOUN 
J, PROPN 
BoneMiner, PROPN 
Res, PROPN 
1999;14:2159, NOUN 
66, NUM 

, SPACE 
8, X 
Chen, PROPN 
Q, PROPN 
Rho, PROPN 
JY, PROPN 
Fan, PROPN 
Z, PROPN 
Laulederkind, PROPN 
SJ, PROPN 
Raghow, PROPN 
R., PROPN 
Congenital, PROPN 
lack, NOUN 
COX-2, PROPN 
affects, VERB 

, SPACE 
mechanical, ADJ 
geometric, ADJ 
properties, NOUN 
bone, NOUN 
mice, NOUN 
Calcif, PROPN 
Tissue, PROPN 
Int, PROPN 
2003;73, NUM 

, SPACE 
387, NUM 
92, NUM 

, SPACE 
9, X 
Currey, ADJ 
JD, PROPN 
design, NOUN 
mineralised, VERB 
hard, ADJ 
tissues, NOUN 
mechanical, ADJ 
functions, NOUN 
J, PROPN 

, SPACE 
Exp, PROPN 
Biol, PROPN 
1999;202:3285, NUM 
94, NUM 

, SPACE 
10, NUM 
Currey, ADJ 
JD, PROPN 
Effects, NOUN 
differences, NOUN 
mineralization, NOUN 
mechanical, ADJ 
properties, NOUN 

, SPACE 
bone, NOUN 
Philos, PROPN 
Trans, PROPN 
R, PROPN 
Soc, PROPN 
Lond, PROPN 
B, PROPN 
Biol, PROPN 
Sci, PROPN 
1984;304:509, NUM 
18, NUM 

, SPACE 
11, NUM 
Currey, ADJ 
JD, PROPN 
determines, VERB 
bending, NOUN 
strength, NOUN 
compact, ADJ 
bone, NOUN 
J, PROPN 
Exp, PROPN 
Biol, PROPN 

, SPACE 
1999;202:2495, NUM 
503, NUM 

, SPACE 
12, NUM 
Ferguson, PROPN 
VL, PROPN 
Ayers, PROPN 
RA, PROPN 
Bateman, PROPN 
TA, PROPN 
Simske, PROPN 
SJ, PROPN 
Bone, NOUN 
development, NOUN 
age, NOUN 
related, VERB 

, SPACE 
bone, NOUN 
loss, NOUN 
male, ADJ 
C57BL/6J, PROPN 
mice, NOUN 
Bone, NOUN 
2003;33:387, NOUN 
98, NUM 

, SPACE 
13, NUM 
Horton, PROPN 
WA, PROPN 
Skeletal, ADJ 
development, NOUN 
insights, NOUN 
targeting, VERB 
mouse, NOUN 
genome, NOUN 

, SPACE 
Lancet, PROPN 
2003;362:560, PROPN 
9, NUM 

, SPACE 
14, NUM 
Jamsa, PROPN 
T, PROPN 
Jalovaara, PROPN 
P, PROPN 
Peng, PROPN 
Z, PROPN 
Vaananen, PROPN 
HK, PROPN 
Tuukkanen, PROPN 
J., PROPN 
Comparison, PROPN 
point, NOUN 

, SPACE 
bending, VERB 
test, NOUN 
peripheral, ADJ 
quantitative, ADJ 
computed, VERB 
tomography, NOUN 
analysis, NOUN 
theevaluation, NOUN 
strength, NOUN 
mouse, NOUN 
femur, NOUN 
tibia, PROPN 
Bone, NOUN 
1998;23:155, NOUN 
61, NUM 

, SPACE 
15, X 
Jepsen, PROPN 
KJ, PROPN 
Akkus, PROPN 
OJ, PROPN 
Majeska, PROPN 
RJ, PROPN 
Nadeau, PROPN 
JH, PROPN 
Hierarchical, ADJ 
relationship, NOUN 

, SPACE 
bone, NOUN 
traits, NOUN 
mechanical, ADJ 
properties, NOUN 
inbred, VERB 
mice, NOUN 
Mamm, PROPN 
Genome, PROPN 
2003;14, NUM 

, SPACE 
97–104, PROPN 

, SPACE 
16, NUM 
Jepsen, PROPN 
KJ, PROPN 
Pennington, PROPN 
DE, PROPN 
Lee, PROPN 
YL, PROPN 
Warman, PROPN 
M, PROPN 
Nadeau, PROPN 
J., PROPN 
Bone, PROPN 
brittleness, NOUN 
varies, VERB 

, SPACE 
genetic, ADJ 
background, NOUN 
J, PROPN 
C57BL/6J, PROPN 
inbred, VERB 
mice, NOUN 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res2001;16:1854, NOUN 
62, NUM 

, SPACE 
17, NUM 
Jiao, PROPN 
Y, PROPN 
Chiu, PROPN 
H, PROPN 
Fan, PROPN 
Z, PROPN 
Jiao, PROPN 
F, PROPN 
Eckstein, PROPN 
EC, PROPN 
Beamer, PROPN 
WG, PROPN 
et, PROPN 
al, PROPN 
Quantitative, ADJ 
trait, NOUN 
loci, NOUN 

, SPACE 
determine, VERB 
mouse, NOUN 
tibial, ADJ 
nanoindentation, NOUN 
properties, NOUN 
F2, NOUN 
population, NOUN 

, SPACE 
derived, VERB 
C57BL/6J×C3H, PROPN 
HeJ., NOUN 
Calcif, PROPN 
Tissue, PROPN 
Int, PROPN 
2007;80:383, NOUN 
90, NUM 

, SPACE 
18, NUM 
Karsenty, PROPN 
G., PROPN 
Convergence, PROPN 
bone, NOUN 
energy, NOUN 
homeostases, NOUN 
leptin, PROPN 
regu-, PROPN 

, SPACE 
lation, NOUN 
bone, NOUN 
mass, NOUN 
Cell, PROPN 
Metab, PROPN 
2006;4(5):341, NUM 
8, NUM 

, SPACE 
19, NUM 
Karsenty, ADJ 
G, PROPN 
Wagner, PROPN 
EF, PROPN 
Reaching, VERB 
genetic, ADJ 
molecular, ADJ 
understanding, NOUN 

, SPACE 
skeletal, ADJ 
development, NOUN 
Dev, PROPN 
Cell, PROPN 
2002;2:389, NUM 
406, NUM 

, SPACE 
20, NUM 
Kavukcuoglu, PROPN 
NB, PROPN 
Denhardt, PROPN 
DT, PROPN 
Guzelsu, PROPN 
N, PROPN 
Mann, PROPN 
AB, PROPN 
Osteopontin, PROPN 
de, X 
ﬁciency, NOUN 

, SPACE 
aging, VERB 
nanomechanics, NOUN 
mouse, NOUN 
bone, NOUN 
J, PROPN 
Biomed, PROPN 
Mater, PROPN 
Res, PROPN 
2007;83:136, NOUN 
44, NUM 

, SPACE 
21, NUM 
Lev, NOUN 
Tov, PROPN 
Chattah, PROPN 
N, PROPN 
Shahar, PROPN 
R, PROPN 
Weiner, PROPN 
S., PROPN 
Design, PROPN 
strategy, NOUN 
minipig, PROPN 
molars, NOUN 

, SPACE 
electronic, ADJ 
speckle, NOUN 
pattern, NOUN 
interferometry, NOUN 
comparison, NOUN 
deformation, NOUN 
load, NOUN 

, SPACE 
tooth, NOUN 
mandible, ADJ 
complex, NOUN 
isolated, ADJ 
tooth, NOUN 
Adv, PROPN 
Mat, PROPN 
2008;20, PROPN 

, SPACE 
22, X 
Liu, PROPN 
J, PROPN 
Xu, PROPN 
K, PROPN 
Wen, PROPN 
G, PROPN 
Guo, PROPN 
H, PROPN 
Li, PROPN 
S, PROPN 
Wu, PROPN 
X, PROPN 
et, PROPN 
al, PROPN 
Comparison, PROPN 
effects, NOUN 
genistein, NOUN 

, SPACE 
zoledronic, ADJ 
acid, NOUN 
bone, NOUN 
loss, NOUN 
OPG, PROPN 
de, ADP 
ﬁcient, NOUN 
mice, NOUN 
Bone, NOUN 
2008;42:950, NOUN 
9, NUM 

, SPACE 
23, NUM 
Martin, PROPN 
RB, PROPN 
Sharkey, PROPN 
NA, PROPN 
Mechanical, ADJ 
effects, NOUN 
postmortem, NOUN 
changes, NOUN 
preservation, NOUN 

, SPACE 
allograft, NOUN 
bone, NOUN 
treatments, NOUN 
Cowin, PROPN 
SC, PROPN 
editor, NOUN 
Bone, NOUN 
mechanics, NOUN 
handbook, NOUN 
New, PROPN 
York, PROPN 
CRC, PROPN 
Press, PROPN 
2001, NUM 

, SPACE 
24, NUM 
McCauley, PROPN 
LK, PROPN 
Transgenic, ADJ 
mouse, NOUN 
models, NOUN 
metabolic, NOUN 
bone, NOUN 
disease, NOUN 
Curr, PROPN 
Opin, PROPN 

, SPACE 
Rheumatol, PROPN 
2001;13:316, PROPN 
25, NUM 

, SPACE 
25, NUM 

, SPACE 
McLean, PROPN 
W, PROPN 
Olsen, PROPN 
BR, NOUN 
Mouse, NOUN 
models, NOUN 
abnormal, ADJ 
skeletal, ADJ 
development, NOUN 
andhomeostasis, NOUN 
Trends, NOUN 
Genet, PROPN 
2001;17, PROPN 
S38, PROPN 
43, NUM 

, SPACE 
26, NUM 
Miller, PROPN 
LM, PROPN 
Little, PROPN 
W, PROPN 
Schirmer, PROPN 
Sheik, PROPN 
F, PROPN 
Busa, PROPN 
B, PROPN 
Judex, PROPN 
S., PROPN 
Accretion, PROPN 
bone, NOUN 
quantity, NOUN 

, SPACE 
quality, NOUN 
developing, VERB 
mouse, NOUN 
skeleton, PROPN 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res, PROPN 
2007;22:1037, PROPN 
45, NUM 

, SPACE 
27, NUM 
Nazarian, PROPN 
Hermannsson, PROPN 
BJ, PROPN 
Muller, PROPN 
J, PROPN 
Zurakowski, PROPN 
D, PROPN 
Snyder, PROPN 
BD, PROPN 
Effects, NOUN 
tissue, NOUN 

, SPACE 
preservation, NOUN 
murine, PROPN 
bone, NOUN 
mechanical, ADJ 
properties, NOUN 
J, PROPN 
Biomech, PROPN 
2008, NUM 

, SPACE 
28, NUM 
Price, NOUN 
C, PROPN 
Herman, PROPN 
BC, PROPN 
Lufkin, PROPN 
T, PROPN 
Goldman, PROPN 
HM, PROPN 
Jepsen, PROPN 
KJ, PROPN 
Genetic, ADJ 
variation, NOUN 
bone, NOUN 

, SPACE 
growth, NOUN 
patterns, NOUN 
de, ADP 
ﬁnes, PROPN 
adult, NOUN 
mouse, PROPN 
bone, NOUN 
fragility, NOUN 
J, PROPN 
Bone, PROPN 
Miner, PROPN 
Res, PROPN 
2005;20, PROPN 

, SPACE 
1983, NUM 
91, NUM 

, SPACE 
29, NUM 
Raum, PROPN 
K, PROPN 
Hofmann, PROPN 
T, PROPN 
Leguerney, PROPN 
Saied, PROPN 
Peyrin, PROPN 
F, PROPN 
Vico, PROPN 
L, PROPN 
et, PROPN 
al, PROPN 
Variations, NOUN 

, SPACE 
microstructure, NOUN 
mineral, NOUN 
density, NOUN 
tissue, NOUN 
elasticity, NOUN 
B6, PROPN 
C3H, PROPN 
mice, NOUN 
Bone2007;41:1017, NOUN 
24, NUM 

, SPACE 
30, NUM 
Rho, NOUN 
JY, PROPN 
Pharr, PROPN 
GM, PROPN 
Effects, NOUN 
drying, VERB 
mechanical, ADJ 
properties, NOUN 
bovine, ADJ 
femur, NOUN 

, SPACE 
measured, VERB 
nanoindentation, NOUN 
J, PROPN 
Mater, PROPN 
Sci, PROPN 
Mater, PROPN 
Med, PROPN 
1999;10:485, NOUN 
8, NUM 

, SPACE 
31, NUM 
Rosen, PROPN 
CJ, PROPN 
Beamer, PROPN 
WG, PROPN 
Donahue, PROPN 
LR, PROPN 
De, PROPN 
ﬁning, VERB 
genetics, NOUN 
osteoporosis, NOUN 

, SPACE 
mouse, NOUN 
understand, VERB 
man, NOUN 
Osteoporos, PROPN 
Int, PROPN 
2001;12:803, NOUN 
10, NUM 

, SPACE 
32, NUM 
Schriefer, PROPN 
JL, PROPN 
Robling, PROPN 
AG, PROPN 
Warden, PROPN 
SJ, PROPN 
Fournier, PROPN 
AJ, PROPN 
Mason, PROPN 
JJ, PROPN 
Turner, PROPN 
CH, PROPN 
comparison, NOUN 

, SPACE 
mechanical, ADJ 
properties, NOUN 
derived, VERB 
multiple, ADJ 
skeletal, ADJ 
sites, NOUN 
mice, NOUN 
J, PROPN 
Biomech2005;38:467, PROPN 
75, NUM 

, SPACE 
33, NUM 
Shahar, PROPN 
R, PROPN 
Zaslansky, PROPN 
P, PROPN 
Barak, PROPN 
