H, PROPN 
result, NOUN 
migration, NOUN 
Fe, PROPN 
V, NOUN 
complex, NOUN 

, SPACE 
Zr, PROPN 
crystals, NOUN 
undoubtedly, ADV 
Fe, PROPN 
present, ADJ 

, SPACE 
impurity, NOUN 
migration, NOUN 
Au, PROPN 
V, NOUN 
complex, NOUN 

, SPACE 
Ion, NOUN 
channeling, VERB 
techniques, NOUN 
determine, VERB 

, SPACE 
lattice, NOUN 
sites, NOUN 
N, PROPN 
Zr, ADJ 
hexagonal, ADJ 
close, ADV 
packed, VERB 

, SPACE 
hcp, NOUN 
structure, NOUN 
effect, NOUN 
trapping, VERB 
irradiation, NOUN 
pro-, NOUN 

, SPACE 
duced, VERB 
defects, NOUN 
N, PROPN 
atoms, NOUN 
26, NUM 
Zr, PROPN 
single, ADJ 
crystal, NOUN 

, SPACE 
implanted, VERB 
1, NUM 
150, NUM 
293, NUM 
K, NOUN 
300, NUM 
keV, NOUN 
15N2, PROPN 
ions, NOUN 

, SPACE 
fluence, NOUN 
2.2, NUM 
X, NOUN 
lOI, NOUN 
ionscm-, ADJ 
position, NOUN 
N, PROPN 

, SPACE 
atoms, NOUN 
Zr, PROPN 
lattice, NOUN 
studied, VERB 
measurements, NOUN 

, SPACE 
yields, NOUN 
H, NOUN 
ions, NOUN 
incident, NOUN 
energy, PROPN 
800, NUM 
keV, PROPN 
backscattered, VERB 

, SPACE 
Zr, PROPN 
atoms, NOUN 
alpha, NOUN 
particle, NOUN 
yields, NOUN 

, SPACE 
nuclear, ADJ 
reaction, NOUN 
5N(p,~)‘2C., NUM 
Dechanneling, NOUN 
protons, NOUN 

, SPACE 
Zr, PROPN 
crystal, NOUN 
provided, VERB 
information, NOUN 
changes, NOUN 

, SPACE 
overall, ADJ 
defect, ADJ 
concentration, NOUN 
irradiation, NOUN 

, SPACE 
annealing, VERB 
stages, NOUN 

, SPACE 
Information, PROPN 
obtained, VERB 
1120, NUM 
lOTO, PROPN 
>, X 

, SPACE 
channels, NOUN 
N, PROPN 
ion, NOUN 
implantation, NOUN 
resulted, VERB 
apprecia-, ADJ 

, SPACE 
bly, ADV 
larger, ADJ 
yield, NOUN 
Q, PROPN 
particles, NOUN 
H, NOUN 
ion, NOUN 
beam, NOUN 

, SPACE 
incident, NOUN 
1120, NUM 
compared, VERB 
found, VERB 
inci-, INTJ 

, SPACE 
dence, NOUN 
lOiO, PROPN 
>, X 
Angular, ADJ 
scans, NOUN 
1120, NUM 

, SPACE 
indicated, VERB 
appreciable, ADJ 
peaking, NOUN 
particle, NOUN 
yield, NOUN 

, SPACE 
L.M., PROPN 
Howe, PROPN 
et, NOUN 
ul./Nucl, NOUN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
443, NUM 
669, NUM 
669, NUM 

, SPACE 
aligned, VERB 
1120, NUM 
position, NOUN 
observations, NOUN 
indicated, VERB 

, SPACE 
N, PROPN 
atoms, NOUN 
occupied, VERB 
octahedral, ADJ 
interstitial, ADJ 
posi-, NOUN 

, SPACE 
tions, NOUN 
a-23, NOUN 
hcp, PROPN 
lattice, PROPN 

, SPACE 
Subsequent, PROPN 
N, PROPN 
implantation, NOUN 
Zr, PROPN 
crystal, NOUN 

, SPACE 
irradiated, VERB 
35, NUM 
K, NOUN 
800, NUM 
keV, NOUN 
4He, NUM 
ions, NOUN 
fluences, NOUN 

, SPACE 
1.8, NUM 
X, NOUN 
lOI, NOUN 
9.1, NUM 
X, NOUN 
1Or6, PROPN 
ionscm-, ADJ 
followed, VERB 
post-, ADJ 

, SPACE 
irradiation, NOUN 
annealing, VERB 
instances, NOUN 
appreciable, ADJ 

, SPACE 
displacement, NOUN 
N, PROPN 
atoms, NOUN 
lattice, NOUN 
sites, NOUN 

, SPACE 
detected, VERB 
irradiations, NOUN 
annealing, VERB 

, SPACE 
423, NUM 
K., PROPN 
N, PROPN 
atoms, NOUN 
octahedral, ADJ 
sites, NOUN 
stable, ADJ 

, SPACE 
position, NOUN 
remains, VERB 
essentially, ADV 
unaltered, ADJ 

, SPACE 
subsequent, ADJ 
defect, NOUN 
formation, NOUN 
migration, NOUN 

, SPACE 
423, NUM 
K., PROPN 

, SPACE 
4, NUM 
Conclusions, NOUN 

, SPACE 
Ion, PROPN 
electron, NOUN 
irradiations, NOUN 
ion, NOUN 
implantation, NOUN 
vari-, VERB 

, SPACE 
ous, ADJ 
ion, NOUN 
beam, NOUN 
analyses, NOUN 
provided, VERB 
following, VERB 
infor-, ADJ 

, SPACE 
mation, NOUN 
irradiation, NOUN 
damage, NOUN 
zirconium, NOUN 
alloys, NOUN 

, SPACE 
1, X 
Detailed, ADJ 
information, NOUN 
nature, NOUN 
damage, NOUN 
pro-, X 

, SPACE 
duced, VERB 
individual, ADJ 
collision, NOUN 
cascades, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 

, SPACE 
ZrFe, PROPN 

, SPACE 
2, X 
understanding, NOUN 
mechanisms, NOUN 
controlling, VERB 
irradi-, PRON 

, SPACE 
ation, NOUN 
induced, VERB 
amorphization, NOUN 
zirconium, NOUN 
inter-, ADJ 

, SPACE 
metallic, ADJ 
compounds, NOUN 

, SPACE 
3, X 
Values, NOUN 
threshold, NOUN 
displacement, NOUN 
energies, NOUN 

, SPACE 
constituent, NOUN 
atoms, NOUN 
including, VERB 
light, ADJ 
element, NOUN 
impurities, NOUN 

, SPACE 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 

, SPACE 
4, X 
Trapping, VERB 
migrating, VERB 
Fe, PROPN 
atoms, NOUN 
Zr, PROPN 
irradiation-, NOUN 

, SPACE 
produced, VERB 
defects, NOUN 

, SPACE 
5, X 
Location, NOUN 
lattice, NOUN 
position, NOUN 
Au, PROPN 
N, PROPN 
atoms, NOUN 

, SPACE 
Zr, PROPN 
interaction, NOUN 
solute, NOUN 
atoms, NOUN 

, SPACE 
irradiation, NOUN 
produced, VERB 
defects, NOUN 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
research, NOUN 
project, NOUN 
funded, VERB 
mainly, ADV 

, SPACE 
CANDU, PROPN 
Owners, PROPN 
Group, PROPN 
COG, PROPN 
contract, NOUN 
wish, VERB 

, SPACE 
thank, VERB 
COG, PROPN 
Working, PROPN 
Party, PROPN 
32, NUM 
committee, NOUN 

, SPACE 
financial, ADJ 
support, NOUN 
interest, NOUN 
program, NOUN 
authors, NOUN 

, SPACE 
like, VERB 
express, VERB 
appreciation, NOUN 
techni-, PROPN 

, SPACE 
cal, ADJ 
support, NOUN 
received, VERB 
H., PROPN 
Plattner, PROPN 
J.D., PROPN 
Bon-, PROPN 

, SPACE 
nett, PROPN 
Chalk, PROPN 
River, PROPN 
Laboratories, PROPN 
E., PROPN 
Ryan, PROPN 
L., PROPN 

, SPACE 
Funk, PROPN 
S., PROPN 
Ackers, PROPN 
Argonne, PROPN 
National, PROPN 
Laboratory, PROPN 

, SPACE 
References, NOUN 

, SPACE 
W.J.S., PROPN 
Yang, PROPN 
R.P., PROPN 
Tucker, PROPN 
B., PROPN 
Cheng, PROPN 
R.B., PROPN 
Adamson, PROPN 
J., PROPN 

, SPACE 
Nucl, PROPN 
Mater, PROPN 
138, NUM 
1986, NUM 
185, NUM 

, SPACE 
2, X 
M., PROPN 
Griffiths, PROPN 
J., PROPN 
Nucl, PROPN 
Mater, PROPN 
159, NUM 
1988, NUM 
190, NUM 
3, X 
F., PROPN 
Lefebvre, PROPN 
C., PROPN 
Lemaignan, PROPN 
J., PROPN 
Nucl, PROPN 
Mater, PROPN 
165, NUM 
1989, NUM 

, SPACE 
122, NUM 

, SPACE 
4, X 
A.T., PROPN 
Motta, PROPN 
F., PROPN 
Lefebvre, PROPN 
C., PROPN 
Lemaignan, PROPN 
Zirconium, NOUN 

, SPACE 
Nuclear, ADJ 
industry, NOUN 
9th, ADJ 
Int, PROPN 
Symp, PROPN 
Kobe, PROPN 
Japan, PROPN 
1990, NUM 
eds, PROPN 

, SPACE 
C.M., PROPN 
Euken, PROPN 
A.M., PROPN 
Garde, PROPN 
ASTM, PROPN 
SIP, PROPN 
1132, NUM 
1991, NUM 
718, NUM 

, SPACE 
5, X 
G.M., PROPN 
Hood, PROPN 
Defect, PROPN 
Diffusion, PROPN 
Forum, PROPN 
95, NUM 
98, NUM 
1994, NUM 
755, NUM 

, SPACE 
6, NUM 
T., PROPN 
Laursen, PROPN 
GM, PROPN 
Hood, PROPN 
R., PROPN 
Belec, PROPN 
G.R., PROPN 
Palmer, PROPN 
R.J., PROPN 
Schultz, PROPN 

, SPACE 
J.L., PROPN 
Whitton, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
64, NUM 
1992, NUM 
475, NUM 

, SPACE 
7, X 
M., PROPN 
Griffiths, PROPN 
R.W., PROPN 
Gilbert, PROPN 
V., PROPN 
Fidleris, PROPN 
ASTM, PROPN 
SIP, PROPN 
1023, NUM 

, SPACE 
1989, NUM 
658, NUM 

, SPACE 
91, NUM 

, SPACE 
lOI, X 

, SPACE 
II, PROPN 

, SPACE 
1121, NUM 

, SPACE 
131, NUM 

, SPACE 
I141, NOUN 

, SPACE 
ISI, PROPN 

, SPACE 
it61, PROPN 

, SPACE 
ii71, PROPN 

, SPACE 
181, NUM 

, SPACE 
t191, PROPN 

, SPACE 
201, NUM 

, SPACE 
211, NUM 

, SPACE 
221, NUM 

, SPACE 
231, NUM 

, SPACE 
241, NUM 

, SPACE 
I251, PROPN 

, SPACE 
t261, PROPN 
R.G., PROPN 
Fleck, PROPN 
I.E., PROPN 
Elder, PROPN 
A.R., PROPN 
Causey, PROPN 
R.A., PROPN 
Holt, PROPN 

, SPACE 
Zirconium, PROPN 
Nuclear, PROPN 
Industry, PROPN 
10th, ADJ 
lnt, NOUN 
Symp, PROPN 
Balti-, NOUN 

, SPACE 
MD, PROPN 
June, PROPN 
1993, NUM 
eds, PROPN 
A.M., PROPN 
Garde, PROPN 
E.R., PROPN 
Bradley, PROPN 

, SPACE 
ASTM, PROPN 
STP, PROPN 
1245, NUM 
1994, NUM 
168, NUM 

, SPACE 
R., PROPN 
Siegeie, PROPN 
H.K., PROPN 
Haugen, PROPN 
J.A., PROPN 
Davies, PROPN 
J.S., PROPN 
Forster, PROPN 
H.R., PROPN 

, SPACE 
Andrews, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
76, NUM 
8), NUM 
1994, NUM 
4524, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
M.H., PROPN 
Rainville, PROPN 
D., PROPN 
Phillips, PROPN 
H., PROPN 
Platmer, PROPN 
J.D., PROPN 

, SPACE 
Bonnett, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
80/81, NUM 
1993, NUM 
73, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
D., PROPN 
Phillips, PROPN 
H.H., PROPN 
Planner, PROPN 
J.D., PROPN 
Bonnet, PROPN 

, SPACE 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
102, NUM 
1995, NUM 
77, NUM 

, SPACE 
K.B., PROPN 
Winterbon, PROPN 
P., PROPN 
Sigmund, PROPN 
J.B., PROPN 
Sanders, PROPN 
K., PROPN 
Dan, PROPN 

, SPACE 
Vidensk, PROPN 
Selsk, PROPN 
Mat, PROPN 
Fys, PROPN 
Medd, PROPN 
37, NUM 
1970, NUM 
14, NUM 

, SPACE 
K.B., PROPN 
Winterbon, PROPN 
Ion, PROPN 
Implantation, PROPN 
Range, PROPN 
Energy, PROPN 
Deposi-, PROPN 

, SPACE 
tion, NOUN 
Distributions, PROPN 
vol, NOUN 
2, NUM 
Plenum, PROPN 
New, PROPN 
York, PROPN 
1975, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
D.P., PROPN 
McCooeye, PROPN 
M.H., PROPN 
Rainviile, PROPN 
J.D., PROPN 
Bonnett, PROPN 

, SPACE 
D., PROPN 
Phillips, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
59/6O, X 
1991, NUM 
884, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
M.H., PROPN 
Rainville, PROPN 
D., PROPN 
Phillips, PROPN 
Phase, NOUN 
For-, PROPN 

, SPACE 
mation, NOUN 
Modification, PROPN 
Beam, PROPN 
Solid, PROPN 
Interactions, PROPN 
eds, PROPN 

, SPACE 
G.S., PROPN 
L.E., PROPN 
Rehn, PROPN 
D.M., PROPN 
Follstaedt, PROPN 
Mater, PROPN 
Res, PROPN 
Sot, PROPN 

, SPACE 
Symp, PROPN 
Proc, PROPN 
235, NUM 
1992, NUM 
p., NOUN 
461, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
D., PROPN 
Phillips, PROPN 
A.T., PROPN 
Motta, PROPN 
P.R., PROPN 
Okamoto, PROPN 
Surf, PROPN 

, SPACE 
Coatings, PROPN 
Tcchnol, PROPN 
66, NUM 
1994, NUM 
411, NUM 

, SPACE 
A.T., PROPN 
Motta, PROPN 
L.M., PROPN 
Howe, PROPN 
P.R., PROPN 
Okamoto, PROPN 
J., PROPN 
Nucl, PROPN 
Mater, PROPN 

, SPACE 
205, NUM 
1993, NUM 
258, NUM 

, SPACE 
A.T., PROPN 
Motta, PROPN 
L.M., PROPN 
Howe, PROPN 
P.R., PROPN 
Okamoto, PROPN 
Materials, NOUN 

, SPACE 
Synthesis, PROPN 
Processing, PROPN 
Ion, PROPN 
Beams, PROPN 
eds, PROPN 
R.J., PROPN 
Cutl-, PROPN 

, SPACE 
bertson, PROPN 
O.W., PROPN 
Holland, PROPN 
KS, PROPN 
Jones, PROPN 
K., PROPN 
Maex, PROPN 
Mater, PROPN 
Res, PROPN 

, SPACE 
Sot, PROPN 
Symp, PROPN 
Proc, PROPN 
316, NUM 
1994, NUM 
265, NUM 

, SPACE 
A.T., PROPN 
Motta, PROPN 
L.M., PROPN 
Howe, PROPN 
P.R., PROPN 
Okamoto, PROPN 
Microstmc-, X 

, SPACE 
ture, NOUN 
Irradiated, PROPN 
Materials, PROPN 
eds, PROPN 
I.M., PROPN 
Robertson, PROPN 
L.E., PROPN 
Rehn, PROPN 

, SPACE 
S.J., PROPN 
Zinkle, PROPN 
W.J., PROPN 
Phythian, PROPN 
Mater, PROPN 
Res, PROPN 
Sot, PROPN 
Symp, PROPN 
Proc, PROPN 

, SPACE 
373, NUM 
1995, NUM 
183, NUM 

, SPACE 
J.A., PROPN 
Faldowski, PROPN 
A.T., PROPN 
Motta, PROPN 
L.M., PROPN 
Howe, PROPN 
P.R., PROPN 
Okamoto, PROPN 

, SPACE 
submitted, VERB 
publication, NOUN 
Symp, PROPN 
Thermodynamics, PROPN 

, SPACE 
Kinetics, PROPN 
Phase, PROPN 
Transformation, PROPN 
1995, NUM 
Fall, PROPN 
Meeting, PROPN 
MRS, PROPN 

, SPACE 
Nov., PROPN 
27, NUM 
Dec., PROPN 
1, NUM 
1995, NUM 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
1995, NUM 

, SPACE 
O.S., PROPN 
Oen, PROPN 
ORNL, ADJ 
report, NOUN 
4897, NUM 
1973, NUM 

, SPACE 
H., PROPN 
Zou, PROPN 
G.M., PROPN 
Hood, PROPN 
J.A., PROPN 
Roy, PROPN 
R.H., PROPN 
Packwood, PROPN 

, SPACE 
Microstructure, NOUN 
Irradiated, PROPN 
Materials, PROPN 
eds, PROPN 
I.M., PROPN 
Robertson, PROPN 

, SPACE 
L.E., PROPN 
Rehn, PROPN 
S.J., PROPN 
Zinkle, PROPN 
W.J., PROPN 
Phythian, PROPN 
Mater, PROPN 
Res, PROPN 
Sot, PROPN 

, SPACE 
symp, NOUN 
Proc, PROPN 
373, NUM 
1995, NUM 
201, NUM 

, SPACE 
M.L., PROPN 
Swanson, PROPN 
L.M., PROPN 
Howe, PROPN 
A.F., PROPN 
Quenneville, PROPN 
J.F., PROPN 
Wat-, PROPN 

, SPACE 
ters, NOUN 
J., PROPN 
Nucl, PROPN 
Mater, PROPN 
67, NUM 
1977, NUM 
42, NUM 

, SPACE 
M., PROPN 
Eldrup, PROPN 
G.M., PROPN 
Hood, PROPN 
N.J., PROPN 
Pederson, PROPN 
R.J., PROPN 
Schultz, PROPN 

, SPACE 
Mater, PROPN 
Sci, PROPN 
Forum, PROPN 
105, NUM 
10, NUM 
1992, NUM 
997, NUM 

, SPACE 
A.D., PROPN 
King, PROPN 
G.M., PROPN 
Hood, PROPN 
R.A., PROPN 
Holt, PROPN 
J., PROPN 
Nucl, PROPN 
Mater, PROPN 
185, NUM 

, SPACE 
1991, NUM 
174, NUM 

, SPACE 
L.M., PROPN 
Howe, PROPN 
M.L., PROPN 
Swanson, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
64, NUM 

, SPACE 
1992, NUM 
246, NUM 

, SPACE 
IX, PROPN 
NEW, ADJ 
MATERIALS, PROPN 

, SPACE 
