~!~l, PROPN 
Fairweather, PROPN 
et, PROPN 
al, PROPN 
1984, NUM 
cor-, VERB 

, SPACE 
related, VERB 
experimental, ADJ 
data, NOUN 
laminar, NOUN 
turbulent, ADJ 
flames, NOUN 

, SPACE 
correlations, NOUN 
modifications, NOUN 
empirical, ADJ 
equations, NOUN 

, SPACE 
derived, VERB 
heat, NOUN 
transfer, NOUN 
stagnation, NOUN 
point, NOUN 

, SPACE 
heated, VERB 
spheres, NOUN 
turbulent, ADJ 
air, NOUN 
flows, NOUN 
Galloway, NOUN 
Sage, PROPN 
1968, NUM 

, SPACE 
recommended, VERB 
following, VERB 
equations, NOUN 
nonreacting, NOUN 
flows, NOUN 

, SPACE 
Average, ADJ 
radiation, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Laminar, PROPN 
turbulent, ADJ 
flows, NOUN 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 

, SPACE 
studies, VERB 
pure, ADJ 
diffusion, NOUN 
flames, NOUN 
radiation, NOUN 
CH, PROPN 
4, NUM 
flames, NOUN 

, SPACE 
given, VERB 

, SPACE 
q/~,rad, PROPN 
=, SYM 
5, NUM 
+, SYM 
3.9(1/, NUM 
--Xiiftof, PUNCT 
f, X 
kW, PROPN 
m, PROPN 
z, PROPN 
9a, PROPN 

, SPACE 
radiation, NOUN 
C3H, PROPN 
8, NUM 
flames, NOUN 
given, VERB 

, SPACE 
q~,rad, ADJ 
=, VERB 
10, NUM 
+, SYM 
7.8(lj, NUM 
Xlirtof, PROPN 
f, PROPN 
kW, PROPN 
m, PROPN 
z, PROPN 
9b, PROPN 

, SPACE 
based, VERB 
analytical, ADJ 
model, NOUN 
flame, NOUN 

, SPACE 
radiating, VERB 
cylinder, NOUN 
liftoff, NOUN 
distance, NOUN 
Xliftoff, PROPN 
length, NOUN 
be-, X 

, SPACE 
tween, VERB 
nozzle, NOUN 
start, NOUN 
flame, NOUN 
length, NOUN 
lj, X 
-xliftof, PROPN 
f, PROPN 

, SPACE 
termed, VERB 
radiation, NOUN 
height, NOUN 
conventional, ADJ 
burner, NOUN 

, SPACE 
Xliftof, PROPN 
f, PROPN 
zero, NUM 
flame, NOUN 
attached, VERB 
nozzle, NOUN 
exit, NOUN 

, SPACE 
distances, NOUN 
Equations, PROPN 
9a, PROPN 
b, NUM 
meters, NOUN 

, SPACE 
studies, NOUN 
fuel, NOUN 
gas, NOUN 
velocities, NOUN 
nozzle, NOUN 
outlet, NOUN 
Ma, PROPN 
>, X 
0.3, NUM 

, SPACE 
equates, VERB 
minimum, NOUN 
outlet, NOUN 
velocity, NOUN 
134, NUM 
82, NUM 
m, PROPN 
s, PROPN 

, SPACE 
CH, PROPN 
4, NUM 
C3H8, PROPN 
respectively, ADV 
burning, VERB 
velocity, NOUN 
air, NOUN 
CH, PROPN 
4, NUM 

, SPACE 
C3H, PROPN 
8, NUM 
0.37, NUM 
0.41, NUM 
m, PROPN 
s, PROPN 
respectively, ADV 
lewis, NOUN 
von, PROPN 
Elbe, PROPN 

, SPACE 
1987, NUM 
flames, NOUN 
attached, VERB 
burner, NOUN 

, SPACE 
exit, NOUN 
velocities, NOUN 
higher, ADJ 
flame, NOUN 
speed, NOUN 

, SPACE 
produced, VERB 
called, VERB 
unattached, ADJ 
lifted, VERB 
flame, NOUN 
flame, NOUN 

, SPACE 
starts, VERB 
local, ADJ 
gas, NOUN 
velocity, NOUN 
flame, NOUN 
speed, NOUN 

, SPACE 
Maximum, ADJ 
convection, NOUN 
radiation, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Turbulent, PROPN 
flows, NOUN 
Hustad, PROPN 
et, PROPN 
al, PROPN 
1992, NUM 
correlated, VERB 
experi-, NUM 

, SPACE 
mental, ADJ 
data, NOUN 

, SPACE 
n, NOUN 
d, NOUN 
q, NOUN 
+, PUNCT 
ra, PROPN 
=, NOUN 
20q~, NOUN 
3, NUM 
kW, PROPN 
10, NUM 

, SPACE 
based, VERB 
thermal, ADJ 
input, NOUN 
qf=, PROPN 
60, NUM 
1600, NUM 
kW., PROPN 
location, NOUN 

, SPACE 
maximum, ADJ 
heat, NOUN 
flux, NOUN 
center, NOUN 
flame, NOUN 
pure, ADJ 

, SPACE 
fuel, NOUN 
jets, NOUN 
significant, ADJ 
quantities, NOUN 
unburned, ADJ 

, SPACE 
fuel, NOUN 
target, NOUN 
impingement, ADJ 
point, NOUN 
TCHR, PROPN 

, SPACE 
important, ADJ 
included, VERB 

, SPACE 
correlation, NOUN 
Nus, PROPN 
e, NOUN 
=, PUNCT 
1.255Re, NUM 
°, NOUN 
~5~(Reb, NOUN 
eTu, NOUN 
°, NUM 
°, NUM 
214, NUM 

, SPACE 
Nus, PROPN 
e, NOUN 
=, X 
1.128Re, PROPN 
°, X 
iSe(Reb, PROPN 
eTu, NOUN 
°, NUM 
2838, NUM 
Reb, PROPN 
eTu, PROPN 
<, X 
7000, NUM 

, SPACE 
lla, NOUN 

, SPACE 
Reb, PROPN 
eTu, PROPN 
>, X 
7000, NUM 

, SPACE 
11b, NUM 

, SPACE 
Fairweather, PROPN 
modifications, NOUN 
equations, NOUN 

, SPACE 
q, NOUN 
=, NOUN 
1.743(Reh, PROPN 
eTu, NOUN 
0"0214, PROPN 
PelgeCpe, PROPN 
~, PUNCT 
t, PROPN 
w, PROPN 
ReO:5, PROPN 
~te-, PUNCT 
12, NUM 

, SPACE 
Gostkowski, PROPN 
Costello, PROPN 
1970, NUM 
recommended, VERB 
following, ADJ 

, SPACE 
equation, NOUN 
nonreacting, NOUN 
flows, NOUN 

, SPACE 
0.16, NUM 
De, PROPN 
Nus, PROPN 
e, NOUN 
=, NOUN 
2, NUM 
+, SYM 
1.849, NUM 
+, CCONJ 
0.2122Tu(Tu, NUM 
0.1072, NUM 

, SPACE 
Uw, PROPN 

, SPACE 
1/2, NUM 
1/6, NUM 
K~,=I/2, NOUN 
DvI/3, PROPN 
+, PROPN 
0.001317]Reb, PROPN 
e, NOUN 
Pre, PROPN 
f''~b, PROPN 
e''e, PROPN 
13, NUM 

, SPACE 
Fairweather, PROPN 
recommended, VERB 
following, VERB 
modification, NOUN 
Equa-, ADJ 

, SPACE 
tion, NOUN 
13, NUM 
laminar, NOUN 
turbulent, ADJ 
flames, NOUN 

, SPACE 
0.16, NUM 
2, NUM 
1.1849, NUM 
u, NOUN 
e, NOUN 
+, SYM 
q~,conv, NOUN 
=, ADJ 
peUeCpe, NOUN 
PreReb, PROPN 
e, NOUN 
D,2/3~1/2, PROPN 
ti, NOUN 
e, NOUN 
lX, NUM 
~, SYM 
b, PROPN 
e, PROPN 
U, PROPN 
w, NOUN 

, SPACE 
+, CCONJ 
0.2122Tu(Tu, NUM 
0.1072, NUM 
+, CCONJ 
0.001317]Pr~, NOUN 
t/, NOUN 

, SPACE 
×(t, PROPN 
e, NOUN 
-t, PROPN 
w, PROPN 
14, NUM 

, SPACE 
Equations, PROPN 
12, NUM 
14, NUM 
tended, VERB 
overpredict, VERB 
experimen-, PROPN 

, SPACE 
tal, PROPN 
data, NOUN 

, SPACE 
Table, NOUN 
2, NUM 
Experimental, ADJ 
conditions, NOUN 
flames, NOUN 
impinging, VERB 
normal, ADJ 
hemi, ADJ 
nosed, ADJ 
cylinders, NOUN 

, SPACE 
Heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 

, SPACE 
Location, PROPN 
Forced, PROPN 
cony, NOUN 
TCHR, PROPN 
Radiation, PROPN 
Oxidizer, PROPN 
Ren, PROPN 
~b, PUNCT 
Fuel, PROPN 
Reference, PROPN 

, SPACE 
Local, PROPN 
~/, PROPN 
air, NOUN 
laminar, PROPN 
0.943, NUM 
1.171, NUM 

, SPACE 
turbulent, VERB 

, SPACE 
~/, NOUN 
air, NOUN 
2000, NUM 
12,000, NUM 
0.8, NUM 
1.2, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
02, NUM 
given, VERB 
0.95, NUM 
CH4, PROPN 

, SPACE 
CH4, PROPN 

, SPACE 
natural, ADJ 
gas, NOUN 
Fairweather, PROPN 
et, PROPN 
al, PROPN 
1984, NUM 

, SPACE 
Hargrave, PROPN 
et, PROPN 
al, PROPN 
1987, NUM 

, SPACE 
Ivernel, PROPN 
Vernotte, PROPN 
1979, NUM 

, SPACE 
aAccording, PROPN 
author, NOUN 
qualitative, ADJ 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 
391, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Turbulent, PROPN 
flows, NOUN 
Hargrave, VERB 
et, PROPN 
al, PROPN 
1987, NUM 
recommended, VERB 

, SPACE 
following, VERB 
empirical, ADJ 
correlation, NOUN 

, SPACE 
q~, PROPN 
=, PROPN 
~-b, PROPN 
t, PROPN 
i~--~, X 
0.993, NUM 
+, NUM 
5.465, NUM 
100, NUM 

, SPACE 
~0.5, X 
2"]'~, NUM 

, SPACE 
TuRe, PROPN 
 , SPACE 
-2.375, PUNCT 
100, NUM 
JJ, PROPN 
te, PROPN 
tw, X 
15, X 

, SPACE 
underpredicted, VERB 
data, NOUN 
15, NUM 
near, ADP 
reaction, NOUN 

, SPACE 
zone, NOUN 
Agreement, NOUN 
good, ADJ 
downstream, NOUN 

, SPACE 
Local, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 
thermochemical, ADJ 

, SPACE 
heat, NOUN 
release, NOUN 

, SPACE 
Turbulent, PROPN 
flows, NOUN 
Ivernel, NOUN 
Vernotte, PROPN 
1979, NUM 
determined, VERB 

, SPACE 
k, PROPN 
w, PROPN 
t, PROPN 
r, NOUN 
~, NOUN 
t0"853Re'b,~P--, NUM 
°, NUM 
4~, NUM 
r, NOUN 
h~, PROPN 
H, PROPN 

, SPACE 
QS, PROPN 
COnV+, PROPN 
TCHR, PROPN 
=, VERB 

, SPACE 
Cpw, PROPN 
16, NUM 

, SPACE 
valid, ADJ 
1000, NUM 
<, X 
r, NOUN 
w, NOUN 
<, X 
45000, NUM 
Equation, NOUN 
16, NUM 
correlated, VERB 
b., PROPN 

, SPACE 
experimental, ADJ 
data, NOUN 
10, NUM 
flow, NOUN 
conditions, NOUN 

, SPACE 
given, VERB 
believed, VERB 
turbulent, ADJ 

, SPACE 
based, VERB 
comparison, NOUN 
reported, VERB 
velocities, NOUN 

, SPACE 
studies, NOUN 
Baukal, PROPN 
Gebhart, PROPN 
1995, NUM 
Radiation, NOUN 

, SPACE 
target, NOUN 
calculated, VERB 
specifically, ADV 
excluded, VERB 

, SPACE 
correlation, NOUN 

, SPACE 
Flames, NOUN 
impinging, VERB 
normal, ADJ 
plane, NOUN 
surface, NOUN 

, SPACE 
geometry, NOUN 
shown, VERB 
Figure, PROPN 
1, NUM 
targets, NOUN 
included, VERB 

, SPACE 
disks, NOUN 
rectangular, ADJ 
plates, NOUN 
experimental, ADJ 
conditions, NOUN 

, SPACE 
given, VERB 
Table, PROPN 
3, NUM 

, SPACE 
Local, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Laminar, PROPN 
flows, VERB 
related, ADJ 
studies, NOUN 
Hoogendoorn, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 

, SPACE 
Popiel, PROPN 
et, PROPN 
al, PROPN 
1980, NUM 
determined, VERB 
empirical, ADJ 
correlations, NOUN 
heat, NOUN 
transfer, NOUN 
stagnation, NOUN 
point, NOUN 
based, VERB 

, SPACE 
axial, ADJ 
distance, NOUN 
target, NOUN 
burner, NOUN 

, SPACE 
correlation, NOUN 
2, NUM 
<, X 
L, PROPN 
<, PROPN 
5, NUM 

, SPACE 
s, VERB 
s, PART 
kref, ADJ 
05, NUM 
04, NUM 
hw, PRON 

, SPACE 
q~, NOUN 
=, X 
~, PUNCT 
0.65, NUM 
+, NUM 
0.084L)Ren~, NUM 
ref, PROPN 
Prre'f, PROPN 

, SPACE 
Cpref, PROPN 
17a, PROPN 

, SPACE 
correlation, NOUN 
L, PROPN 
>, X 
12, NUM 

, SPACE 
h, PROPN 
s, PROPN 
s, NOUN 

, SPACE 
=, PROPN 
1.8L, NOUN 
10, NUM 
fPrre, PROPN 
f, PROPN 
qs, PROPN 
co, NOUN 
~, NOUN 
v, PROPN 
1.37, NUM 
-3, SYM 
0, NUM 
75, NUM 
0, NUM 
4, NUM 
e, NOUN 
h~, PROPN 

, SPACE 
Cp, PROPN 
ref, NOUN 
176, NUM 

, SPACE 
correlations, NOUN 
closely, ADV 
matched, VERB 
data, NOUN 
5, NUM 
<, X 
L, PROPN 
<, PROPN 
12, NUM 

, SPACE 
data, NOUN 
showed, VERB 
peak, NOUN 
Nu, PROPN 
correlation, NOUN 
given, VERB 

, SPACE 
modified, VERB 
form, NOUN 
semi, ADJ 
analytic, ADJ 
solution, NOUN 
determined, VERB 

, SPACE 
form, NOUN 
equation, NOUN 
recommended, VERB 
Sibulkin, PROPN 
1952, NUM 

, SPACE 
Sibulkin, PROPN 
equation, NOUN 
variations, NOUN 
discussed, VERB 

, SPACE 
Baukal, PROPN 
Gebhart, PROPN 
1996, NUM 
modified, ADJ 
correlation, NOUN 

, SPACE 
kre, PROPN 
f, PROPN 
h, PROPN 
s, X 
h, PROPN 
s, PROPN 

, SPACE 
=, SYM 
l"en, PROPN 
f, PROPN 
lrref, PROPN 
J, PROPN 
q, PROPN 
d, PROPN 
2.37(L+, NUM 
lh-0"5]D, PROPN 
0.5, NUM 
D, NOUN 
0.41, NUM 
e, NOUN 
17c, PROPN 

, SPACE 
Cpref, PROPN 

, SPACE 
valid, ADJ 
8, NUM 
<, NOUN 
L, PROPN 
<, X 
20, NUM 
underpredicted, VERB 
data, NOUN 

, SPACE 
60, NUM 
believed, VERB 
caused, VERB 
failure, NOUN 

, SPACE 
include, VERB 
effects, NOUN 
free, ADJ 
jet, NOUN 
turbulence, NOUN 
correlation, NOUN 

, SPACE 
recommended, VERB 
included, VERB 
effects, NOUN 

, SPACE 
ql, PROPN 
=, X 
d, X 
n, CCONJ 
/[(L+l, PROPN 
°, NOUN 
 , SPACE 
Z'Ze, PROPN 
t, PROPN 
1, NUM 
6, NUM 
6, NUM 

, SPACE 
TuRe, PROPN 
reft2, NOUN 
s, NOUN 
0.5, NUM 
0.4, NUM 
-hw, PROPN 
2.76, NUM 
100, NUM 
Ren, PROPN 
ref, PROPN 
Prref, PROPN 
Cp, PROPN 
~, PROPN 
ef, PROPN 
17d, NOUN 

, SPACE 
valid, ADJ 
L, PROPN 
>, X 
8, NUM 
compared, VERB 
favorably, ADV 
data, NOUN 

, SPACE 
L, PROPN 
>, X 
4, NUM 
maximum, ADJ 
heat, NOUN 
flux, NOUN 
occurred, VERB 
stagnation, NOUN 
point, NOUN 

, SPACE 
Table, NOUN 
3, NUM 
Experimental, ADJ 
conditions, NOUN 
flames, NOUN 
impinging, VERB 
normal, ADJ 
plane, NOUN 
surfaces, NOUN 

, SPACE 
Heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 

, SPACE 
Location, PROPN 
Forced, VERB 
conv, ADJ 
TCHR, PROPN 
Radiation, PROPN 
Oxidizer, PROPN 
n, CCONJ 
~b, PROPN 
Fuel(s, PROPN 
Reference, PROPN 

, SPACE 
Local, PROPN 
~/, PROPN 
air, NOUN 
1050, NUM 
1860, NUM 
1.0, NUM 

, SPACE 
~/, PROPN 
air, NOUN 
O, NOUN 
2, NUM 
857, NUM 
2000, NUM 
0.61, NUM 

, SPACE 
~/, PROPN 
air, NOUN 
1500, NUM 
19,000, NUM 
0.67, NUM 
0.95, NUM 

, SPACE 
~/, NOUN 
air, NOUN 
17,680, NUM 
22,700, NUM 
2.75, NUM 

, SPACE 
v, ADP 
air, NOUN 
turbulent, ADJ 
1.0, NUM 

, SPACE 
~/, PROPN 
air, NOUN 
turbulent, PROPN 
given, VERB 

, SPACE 
~/, PROPN 
air, NOUN 
turbulent, ADJ 
0.95, NUM 

, SPACE 
~/, PROPN 
air, PROPN 
O2, PROPN 

, SPACE 
~/, PROPN 
air, PROPN 
laminar, PROPN 
1.33, NUM 
1.67, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
0, NUM 
2, NUM 
1.0, NUM 

, SPACE 
~/, NOUN 
0, NUM 
2, NUM 
1.0, NUM 
1.43, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
02, NUM 
2.34, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
02, NUM 
300, NUM 
1200, NUM 
0.83, NUM 
1.0, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
0, NUM 
2, NUM 
turbulent, VERB 
1.0, NUM 

, SPACE 
Average, PROPN 
~/, PROPN 
air, NOUN 
70, NUM 
356, NUM 

, SPACE 
~/, PROPN 
air, NOUN 
1500, NUM 
19,000, NUM 
0.67, NUM 
0.95, NUM 
natural, ADJ 
gas, NOUN 

, SPACE 
CH4, PROPN 

, SPACE 
town, NOUN 
gas+, PROPN 

, SPACE 
CH4, PROPN 

, SPACE 
natural, ADJ 
gas, NOUN 

, SPACE 
coke, PROPN 
oven, ADJ 
gas, NOUN 

, SPACE 
natural, ADJ 
gas, NOUN 

, SPACE 
CH4, PROPN 

, SPACE 
H2, PROPN 

, SPACE 
C3H8, PROPN 

, SPACE 
C2H2, PROPN 

, SPACE 
C3Hs+C4Hlo, PROPN 

, SPACE 
C3H8, PROPN 

, SPACE 
natural, ADJ 
gas, NOUN 

, SPACE 
town, NOUN 
gas, NOUN 
+, CCONJ 
Hoogendoorn, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 

, SPACE 
Popiel, PROPN 
et, PROPN 
al, PROPN 
1980, NUM 

, SPACE 
Kataoka, PROPN 
et, PROPN 
al, PROPN 
1984, NUM 

, SPACE 
Shorin, PROPN 
Pechurkin, PROPN 
1968, NUM 

, SPACE 
Buhr, PROPN 
et, PROPN 
al, PROPN 
1973, NUM 

, SPACE 
Kremet, PROPN 
et, PROPN 
al, PROPN 
1974, NUM 

, SPACE 
Smith, PROPN 
Lowes, PROPN 
1974, NUM 

, SPACE 
Matsuo, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 

, SPACE 
Vizioz, PROPN 
Lewes, PROPN 
1971, NUM 

, SPACE 
Anderson, PROPN 
Stresino, PROPN 
1963, NUM 

, SPACE 
Shorin, PROPN 
Pechurkin, PROPN 
1968, NUM 

, SPACE 
Rauenzahn, PROPN 
1986, NUM 

, SPACE 
1985, NUM 

, SPACE 
Shorin, PROPN 
Pechurkin, PROPN 
1968, NUM 

, SPACE 
aCalculated, PROPN 
data, NOUN 
reference, NOUN 

, SPACE 
392, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
VoI., NOUN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
L, NOUN 
=, SYM 
2, NUM 
3, NUM 
maximum, ADJ 
flux, NOUN 
occurred, VERB 
R, NOUN 
=, SYM 
0.5, NUM 

, SPACE 
0.2, NUM 
respectively, ADV 
Kataoka, PROPN 
et, PROPN 
al, PROPN 
1984, NUM 
studied, VERB 

, SPACE 
air, NOUN 
O2, PROPN 
CH, PROPN 
4, NUM 
1~, NUM 
=, SYM 
0.39, NUM 
flame, NOUN 
heat, NOUN 
transfer, NOUN 
stagna-, ADJ 

, SPACE 
tion, NOUN 
point, NOUN 
correlated, VERB 

, SPACE 
ke, PROPN 
tt, PROPN 

, SPACE 
qs, X 
conv, ADJ 
=, NOUN 
2rl/2v, PROPN 
1.44Re2, NUM 
°, NUM 
~/, PROPN 
prO5, PROPN 
L, NOUN 
-X~), X 
°, NOUN 
"2}(te, NUM 
G, NOUN 
18a, NOUN 

, SPACE 
rl/2v, VERB 
radius, NOUN 
burner, NOUN 
axis, NOUN 
near, ADP 
stagnation, NOUN 
point, NOUN 

, SPACE 
velocity, NOUN 
1/2, NUM 
velocity, NOUN 
axis, NOUN 

, SPACE 
symmetry, NOUN 
correlation, NOUN 
valid, ADJ 
L, PROPN 
>, X 
X, PROPN 
X, PROPN 

, SPACE 
correlated, VERB 

, SPACE 
X, PROPN 
=, PROPN 
2.82(p,/p, PROPN 
°, NOUN 
29Ren, NOUN 
°, NOUN 
°, NUM 
xT_0, PUNCT 
18b, NUM 

, SPACE 
subsequent, ADJ 
study, NOUN 
Kataoka, PROPN 
1985, NUM 
found, VERB 
maximum, ADJ 
heat, NOUN 

, SPACE 
flux, NOUN 
flame, NOUN 
occurred, VERB 
L, PROPN 
=, PROPN 
X, PROPN 

, SPACE 
Turbulent, ADJ 
flows, NOUN 
Shorin, PROPN 
Pechurkin, PROPN 
1968, NUM 
empirically, ADV 
de-, AUX 

, SPACE 
termined, VERB 

, SPACE 
ke, PROPN 
02, NUM 

, SPACE 
q~, NOUN 
=, X 
--dT, PROPN 
a., PROPN 
O4R%, PROPN 
~Pre, X 
t, PROPN 
e, NOUN 
tw, PROPN 
19a, NOUN 

, SPACE 
valid, ADJ 
L, PROPN 
<, X 
X~, PROPN 
correlation, NOUN 
matched, VERB 
experi-, NUM 

, SPACE 
mental, ADJ 
data, NOUN 
15, NUM 
correlation, NOUN 
given, VERB 

, SPACE 
heat, NOUN 
flux, NOUN 
L, PROPN 
>, X 
X, PROPN 

, SPACE 
NUs, NOUN 
e(X, NOUN 
v, NUM 
<, X 
L, PROPN 
<, X 
14, NUM 
L, PROPN 
Xv, PROPN 
2, NUM 

, SPACE 
0.8e, NOUN 
0.36, NUM 
L, PROPN 
19b, NOUN 

, SPACE 
NUs, NOUN 
e(L, PROPN 
<, X 
Xt, PROPN 

, SPACE 
local, ADJ 
heat, NOUN 
transfer, NOUN 
function, NOUN 
R, NOUN 
correlated, VERB 

, SPACE 
ke, PROPN 
3.22ReO.apree-0.36, PROPN 
L, PROPN 
x'')2, PROPN 
3, NUM 
6, NUM 
R, NOUN 
G, NOUN 
=, PRON 
Rd, VERB 
L, NOUN 
Zf(t~--t~, PROPN 
19C, NUM 

, SPACE 
0, NUM 
<, X 
R, NOUN 
L, PROPN 
<, X 
0.9, NUM 
X, NOUN 
r, NOUN 
<, X 
L, PROPN 
<, X 
14, NUM 
Vizioz, PROPN 
Lewes, PROPN 
1971, NUM 

, SPACE 
investigated, VERB 
industrial, ADJ 
scale, NOUN 
air, NOUN 
oxygen, NOUN 
enriched, VERB 
air, NOUN 
I~, NOUN 
=, X 

, SPACE 
0.30, NUM 
natural, ADJ 
gas, NOUN 
flames, NOUN 
impinging, VERB 
cooled, VERB 
flat, ADJ 
plate, NOUN 
targets, NOUN 

, SPACE 
located, VERB 
inside, ADP 
furnace, NOUN 
different, ADJ 
types, NOUN 
flames, NOUN 

, SPACE 
levels, NOUN 
swirl, NOUN 
tested, VERB 
data, NOUN 
correlated, VERB 

, SPACE 
q/,conv, NOUN 
=, PROPN 
ke, PROPN 
r, NOUN 
Nur, PROPN 
e}(te, NOUN 
tw, PROPN 
20a, NOUN 

, SPACE 
set, NOUN 
tests, NOUN 
surface, NOUN 
temperature, NOUN 
water, NOUN 
cooled, VERB 

, SPACE 
steel, NOUN 
flat, ADJ 
plate, NOUN 
maintained, VERB 
373K., PROPN 
convective, ADJ 
heat, NOUN 

, SPACE 
flux, NOUN 
function, NOUN 
radius, NOUN 
stagnation, NOUN 
point, NOUN 
valid, ADJ 
17680, NUM 
<, X 
<, X 
22700, NUM 
13, NUM 
<, X 
L, NOUN 
<, X 
65, NUM 
experi-, NUM 

, SPACE 
mental, ADJ 
data, NOUN 
correlated, VERB 
9, NUM 
peak, NOUN 
flux, NOUN 

, SPACE 
measured, VERB 
near, ADP 
reaction, NOUN 
zone, NOUN 
heat, NOUN 
flux, NOUN 
showed, VERB 
small, ADJ 

, SPACE 
linear, ADJ 
decline, NOUN 
probe, NOUN 
surface, NOUN 
temperature, NOUN 
range, NOUN 

, SPACE 
320, NUM 
1000K., PROPN 
Smith, PROPN 
Lewes, PROPN 
1974, NUM 
determined, VERB 
following, VERB 

, SPACE 
empirical, ADJ 
correlation, NOUN 

, SPACE 
n, CCONJ 
0.54, NUM 
0.52, NUM 
q, NOUN 
=, PROPN 
ke, PROPN 
lc){1.6Retc,~, PROPN 
PG, PROPN 
t~, PROPN 
t~, PROPN 
22, NUM 

, SPACE 
l~, PROPN 
width, NOUN 
cooling, VERB 
channels, NOUN 
correlation, NOUN 

, SPACE 
valid, ADJ 
0, NUM 
<, X 
L, NOUN 
<, X 
8.4, NUM 
fluid, ADJ 
properties, NOUN 
taken, VERB 

, SPACE 
air, NOUN 
gas, NOUN 
temperatures, NOUN 
measured, VERB 
near, ADP 
plate, NOUN 
axial, ADJ 

, SPACE 
velocity, NOUN 
10, NUM 
cm, NOUN 
plate, NOUN 
calculate, VERB 
velocity, NOUN 

, SPACE 
Matsuo, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 
determined, VERB 
following, VERB 
correla-, NOUN 

, SPACE 
tion, NOUN 
heat, NOUN 
flux, NOUN 
stagnation, NOUN 
point, NOUN 

, SPACE 
q, X 
=, SYM 
O.O10353(q~.936, NUM 
L1.032)(t, PROPN 
t, PROPN 
23a, NOUN 

, SPACE 
correlation, NOUN 
given, VERB 
heat, NOUN 
flux, NOUN 
function, NOUN 

, SPACE 
distance, NOUN 
r, NOUN 
stagnation, NOUN 
point, NOUN 

, SPACE 
6.318, NUM 

, SPACE 
q~, NOUN 
=, NOUN 
tq~'939, PROPN 
K1K2L, NOUN 
e, NOUN 
lw, PROPN 
23b, X 

, SPACE 

, SPACE 
K, PROPN 
1, NUM 
=, NOUN 
-1.903.10, PROPN 
7r, PROPN 
2, NUM 
+, CCONJ 
3.89"10, PROPN 
3r, NUM 
+, SYM 
0.985, NUM 

, SPACE 
K, PROPN 
2, NUM 
=, NUM 
8.42, NUM 
10, NUM 
7r, NUM 
3, NUM 
1.803.103r, NUM 
2, NUM 
+, CCONJ 
1.37r, NOUN 
+, NUM 
5.00, NUM 
23c, NUM 

, SPACE 
23d, NOUN 

, SPACE 
Equations, PROPN 
23a, NOUN 
b, X 
valid, ADJ 
5, NUM 
<, X 
L, NOUN 
<, X 
9, NUM 
148, NUM 
<, X 
qf, X 
<, X 
482, NUM 

, SPACE 
Equation, NOUN 
23b, NOUN 
valid, ADJ 
0, NUM 
<, X 
r, NOUN 
<, X 
500, NUM 
r, NOUN 
ram, NOUN 

, SPACE 
Local, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 
thermochemical, ADJ 

, SPACE 
heat, NOUN 
release, NOUN 

, SPACE 
Laminar, PROPN 
flows, VERB 
Anderson, PROPN 
Stresino, PROPN 
1963, NUM 
found, VERB 

, SPACE 
heat, NOUN 
flux, NOUN 
decreased, VERB 
exponentially, ADV 
R, NOUN 
increased, VERB 

, SPACE 
4r, NUM 
~, PUNCT 
e, PROPN 
e, PROPN 
34, NUM 

, SPACE 
q~, NOUN 
TCHR, PROPN 
=, PROPN 
q, NOUN 
+, NOUN 
