jouma, PROPN 
, SPACE 
1990, NUM 
584, NUM 
Angew, PROPN 
Chem, PROPN 
Int, PROPN 
Ed, PROPN 
Engl, PROPN 
29, NUM 
1990, NUM 
510, NUM 

, SPACE 
2, X 
H., PROPN 
Werner, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
475, NUM 
1994, NUM 
45, NUM 

, SPACE 
3, X 
N., PROPN 
Mahr, PROPN 
Dissertation, PROPN 
Universit, PROPN 
~, PUNCT 
t, PROPN 
Wiirzburg, PROPN 
1994, NUM 

, SPACE 
4, X 
J., PROPN 
Adams, PROPN 
D.M., PROPN 
Spero, PROPN 
Tetrahedron, PROPN 
47, NUM 
1991, NUM 
1765, NUM 
M.P., PROPN 

, SPACE 
Doyle, PROPN 
W.R., PROPN 
Winchester, PROPN 
J.A.A., PROPN 
Hoorn, PROPN 
V., PROPN 
Lynch, PROPN 
S.H., PROPN 
Simon-, PROPN 

, SPACE 
sen, PROPN 
R., PROPN 
Gosh, PROPN 
J., PROPN 
Chem, PROPN 
Soc, PROPN 
115, NUM 
1993, NUM 
9969, NUM 

, SPACE 
references, NOUN 
cited, VERB 

, SPACE 
5, X 
H., PROPN 
Werner, PROPN 
S., PROPN 
Poelsma, PROPN 
M.E., PROPN 
Schneider, PROPN 
B., PROPN 
Windmiiller, PROPN 
D., PROPN 

, SPACE 
Barth, PROPN 
submitted, VERB 
Chem, PROPN 
Ber, PROPN 

, SPACE 
6, NUM 
H., PROPN 
Werner, PROPN 
U., PROPN 
Mbhring, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
475, NUM 
1994, NUM 

, SPACE 
277, NUM 

, SPACE 
7, X 
H., PROPN 
Wemer, PROPN 
J., PROPN 
Wolf, PROPN 
N., PROPN 
Mahr, PROPN 
U., PROPN 
M;Shring, NOUN 
O., PROPN 
Niirnberg, PROPN 
M.E., PROPN 

, SPACE 
Schneider, PROPN 
P., PROPN 
Schwab, PROPN 
P., PROPN 
Steinert, PROPN 
B., PROPN 
Weber, PROPN 
B., PROPN 
Windmilller, PROPN 

, SPACE 
Selective, PROPN 
Reactions, PROPN 
ttfetaI, PROPN 
Activated, PROPN 
Molecules, PROPN 
il, PROPN 
Vieweg, PROPN 

, SPACE 
Braunschweig, PROPN 
1995, NUM 
pp, PROPN 
17, NUM 
122, NUM 

, SPACE 
8, X 
K.G., PROPN 
Allure, PROPN 
R.D., PROPN 
Hancock, PROPN 
I.V., PROPN 
Howell, PROPN 
R.C., PROPN 
Pitkethly, PROPN 
P.J., PROPN 

, SPACE 
Robinson, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
87, NUM 
1975, NUM 
189, NUM 

, SPACE 
9, X 
Yu, PROPN 
I., PROPN 
Yermakov, PROPN 
B.N., PROPN 
Kuznetsov, PROPN 
V.A., PROPN 
Zakharov, PROPN 
Catal-, PROPN 

, SPACE 
ysis, NOUN 
Supported, VERB 
Complexes, PROPN 
Elsevier, ADJ 
Amsterdam, PROPN 
1981, NUM 
b, X 

, SPACE 
F.R., PROPN 
Hartley, PROPN 
Supported, PROPN 
Metal, PROPN 
Complexes, PROPN 
~, PUNCT 
New, PROPN 
Genera-, PROPN 

, SPACE 
tion, NOUN 
ofCataysts, NOUN 
Reidel, PROPN 
Dortrecht, PROPN 
1989, NUM 

, SPACE 
10, NUM 
M.D., PROPN 
Ward, PROPN 
T.V., PROPN 
Harri.~, PROPN 
J., PROPN 
Schwartz, PROPN 
J., PROPN 
Chem, PROPN 
Soc, PROPN 

, SPACE 
Chem, PROPN 
Commun, PROPN 
1980, NUM 
357, NUM 
b, X 
M.D., PROPN 
Ward, PROPN 
J., PROPN 
Schwartz, PROPN 

, SPACE 
J., PROPN 
MoL, PROPN 
Catal, PROPN 
1981, NUM 
397, NUM 
c, X 
H.E., PROPN 
Fischer, PROPN 
S.A., PROPN 
King, PROPN 
J.B., PROPN 

, SPACE 
Miller, PROPN 
J.Y., PROPN 
Ying, PROPN 
J.B., PROPN 
Benzinger, PROPN 
J., PROPN 
Schwartz, PROPN 
lnorg, PROPN 

, SPACE 
Chem, PROPN 
30, NUM 
1991, NUM 
4403, NUM 
d, X 
H.E., PROPN 
Fischer, PROPN 
S.A., PROPN 
King, PROPN 
C.E., PROPN 

, SPACE 
Bronniman, PROPN 
J., PROPN 
Schwartz, PROPN 
Langmuir, PROPN 
9, NUM 
1993, NUM 
391, NUM 

, SPACE 
P., PROPN 
Dufour, PROPN 
C., PROPN 
Houtman, PROPN 
C.C., PROPN 
Santini, PROPN 
J.-M., NOUN 
Basset, PROPN 
J., PROPN 

, SPACE 
Mol, PROPN 
Caud, PROPN 
77, NUM 
1992, NUM 
257, NUM 
b, X 
P., PROPN 
Dufour, PROPN 
S.L., PROPN 
Scott, PROPN 
C.C., PROPN 

, SPACE 
Samini, PROPN 
F., PROPN 
Lefebvre, PROPN 
J.-M., NOUN 
Basset, PROPN 
hlorg, NOUN 
Chem, PROPN 
33, NUM 
1994, NUM 

, SPACE 
2509, NUM 
c, X 
S.L., PROPN 
Scott, PROPN 
J.-M., NOUN 
Basset, PROPN 
G.P., PROPN 
Niccolai, PROPN 
C.C., PROPN 
Santini, PROPN 

, SPACE 
J.-P., PROPN 
Candy, PROPN 
C., PROPN 
Lecuyer, PROPN 
F., PROPN 
Quignard, PROPN 
A., PROPN 
Choplin, PROPN 
New, PROPN 
J., PROPN 

, SPACE 
Chem, PROPN 
18, NUM 
1994, NUM 
115, NUM 

, SPACE 
12, NUM 
H.C., PROPN 
Foley, PROPN 
SJ, PROPN 
DeCanio, PROPN 
K.D., PROPN 
Tau, PROPN 
K.J., PROPN 
Chao, PROPN 
J.lt, PROPN 

, SPACE 
Onuferko, PROPN 
C., PROPN 
Dybowski, PROPN 
B.C., PROPN 
Gates, PROPN 
J., PROPN 
CIwm, PROPN 
Soc, PROPN 

, SPACE 
105, NUM 
1983, NUM 
3074, NUM 
b, X 
A.J., PROPN 
Roosmalen, PROPN 
J.C., PROPN 
Mol, PROPN 
J., PROPN 
Ph):~, NUM 

, SPACE 
Ch~,m, PROPN 
82, NUM 
1978, NUM 
2748, NUM 
c, PROPN 
H., PROPN 
Knt)~inger, PROPN 
P., PROPN 
Ralnasamy, PROPN 

, SPACE 
C, PROPN 
t, PROPN 
I., PROPN 
Rev., PROPN 
Set, PROPN 
Et, PROPN 
~, PROPN 
g., PROPN 
17, NUM 
1978, NUM 
31, NUM 
d, X 
D.G.H., PROPN 
Balhu, PROPN 
~, X 
d, NUM 
Adv, PROPN 

, SPACE 
C, PROPN 
~, NOUN 
tal, PROPN 
23, NUM 
1973, NUM 
203, NUM 

, SPACE 
13, NUM 
L., PROPN 
Brandz, PROPN 
Dissertation, PROPN 
Universit[it, PROPN 
W[Irzburg, PROPN 
1991, NUM 

, SPACE 
14, NUM 
R., PROPN 
Cramer, PROPN 
rg, PROPN 
Synth, PROPN 
15, NUM 
1974, NUM 
14, NUM 

, SPACE 
15, NUM 
R., PROPN 
Cramer, PROPN 
J., PROPN 
Chem, NOUN 
Sot, PROPN 
86, NUM 
1964, NUM 
217, NUM 

, SPACE 
16, NUM 
A.C., PROPN 
Jesse, PROPN 
H.P., PROPN 
Gijben, PROPN 
D.J., PROPN 
Stufkens, PROPN 
K., PROPN 
Vrieze, PROPN 
Inm*g, PROPN 

, SPACE 
Chim, PROPN 
Acta, PROPN 
31, NUM 
1978, NUM 
203, NUM 

, SPACE 
17, NUM 
G., PROPN 
ingrosso, NOUN 
L., PROPN 
Porri, PROPN 
J., PROPN 
Orgmzomet, PROPN 
Chem, PROPN 
84, NUM 
1975, NUM 
75, NUM 

, SPACE 
18, X 
A.L., PROPN 
Onderdelinden, PROPN 
A., PROPN 
van, PROPN 
der, PROPN 
Ent, PROPN 
lnorg, PROPN 
Chim, PROPN 
Acta, PROPN 
6, NUM 

, SPACE 
1972, NUM 
420, NUM 

, SPACE 
19, NUM 
M., PROPN 
Sato, PROPN 
T., PROPN 
Kanbayashi, PROPN 
N., PROPN 
Kobayashi, PROPN 
Y., PROPN 
Shima, PROPN 
J., PROPN 
Catal, PROPN 

, SPACE 
7, NUM 
1967, NUM 
342, NUM 


, SPACE 
